# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model3_model
# start_datetime = 2023-12-05 05:44:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpeejy2vd4/u16nwyy7.json
# init = 2 (Default)
# random
#   seed = 12312
# output
#   file = /home/john/python_test/project/year2021_model3_sample/model3-20231204214446_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=model3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.4345
# Diagonal elements of inverse mass matrix:
# 0.101204, 0.117253, 0.0905862, 0.102387, 0.104666, 0.0924634, 0.0949435, 0.0910918, 0.102973, 0.0999011, 0.0915735, 0.083755, 0.0829159, 0.0954889, 0.0815687, 0.0955689, 0.0998049, 0.0887521, 0.0934088, 0.100102, 0.382717, 2.73992
-873.245,0.736081,0.4345,3,7,0,887.969,1.8788,1.53695,1.12528,1.56288,0.685479,0.624291,0.745752,1.09828,-0.530464,-0.115622,-0.154974,0.264625,-0.235542,-0.18708,0.179686,-0.445396,0.319408,-0.111843,-0.187863,-0.500362,-0.123767,-7.0114,20,-35.442,-39.2592,-35.7176,-34.5552,-42.8178,-46.6593,-36.2086,-37.6027,-35.0198,-45.2983,-45.7491,-42.1082,-35.7084,-46.3898,-36.1399,-36.3179,-37.3135,-37.412,-38.9104,-42.913,-37.4665,-35.6315
-871.372,0.936841,0.4345,3,7,0,888.876,2.21481,1.35842,-0.195854,0.379521,0.598119,0.674646,0.444436,1.053,-0.355298,0.137229,-0.303676,-0.215819,0.425008,-0.585184,-0.158812,-1.0966,0.0925382,-1.02916,0.686924,-1.47568,-0.139608,-6.3125,20,-38.0718,-34.113,-35.0005,-36.5002,-42.3478,-51.7949,-35.36,-37.4092,-38.9901,-45.8311,-43.6698,-42.3537,-33.5369,-51.4509,-34.6353,-36.291,-41.0836,-35.1751,-38.8447,-34.6673,-36.6107,-34.8191
-865.123,1,0.4345,3,7,0,877.59,2.30304,1.59939,0.220785,0.951873,0.537936,0.792574,0.458016,1.40841,-0.739542,-0.283619,-0.446016,0.13127,0.0464358,-0.387593,-0.277887,-0.75872,0.10992,-0.992546,-0.0405024,-1.16993,0.307372,-7.18019,20,-35.1484,-34.9019,-34.6474,-33.7866,-42.7619,-51.7545,-36.3748,-37.2645,-36.2735,-47.1652,-44.3979,-41.5663,-34.0809,-51.398,-35.0171,-35.2818,-38.1371,-34.6151,-37.617,-37.7199,-36.711,-34.7375
-870.974,0.682622,0.4345,3,7,0,880.134,1.59165,1.34911,-0.016214,1.15412,-0.00536176,0.71352,0.191182,1.27176,-1.27424,-0.324816,-0.343972,-0.0716769,0.313366,-0.218759,-0.0870806,-0.803924,0.0435659,-0.71646,-0.157732,-1.2348,-0.191571,-6.36916,20,-36.6166,-36.0817,-36.429,-33.8618,-41.6535,-49.4499,-37.6309,-38.7327,-38.5816,-46.1323,-44.8128,-40.8012,-34.4504,-46.9412,-36.2454,-36.2123,-40.2057,-34.7814,-38.1459,-38.2713,-37.3134,-35.4779
-868.913,0.927056,0.4345,3,7,0,878.876,1.90695,1.03184,0.479693,0.360715,0.808896,-0.00883754,0.466602,0.711286,-0.209395,-0.0957622,-0.514972,-0.195473,-0.327429,-0.818994,-0.383359,-1.35441,-0.0341396,-0.722449,-0.0170375,-1.56754,-1.93055,-2.79965,20,-35.3828,-37.9049,-34.9609,-36.0369,-41.9666,-48.8747,-33.6441,-36.936,-35.6491,-45.1698,-44.4123,-43.875,-35.2126,-51.1832,-34.563,-34.9124,-38.0132,-37.3661,-39.3813,-39.8461,-36.9709,-35.9206
-864.989,0.863687,0.4345,3,7,0,885.223,1.49652,1.37308,0.0865349,1.36997,0.077811,0.797328,0.410874,1.00173,-0.953642,-0.376158,-0.338259,-0.269319,0.133108,-0.490571,-0.0217197,-1.0688,0.223469,-0.839767,0.265272,-1.08203,-0.170367,-0.166242,20,-37.5682,-35.12,-35.4169,-34.8935,-42.2125,-47.9426,-36.6305,-38.4854,-37.2788,-45.8797,-45.7826,-41.1209,-34.2731,-46.7939,-35.4761,-36.4027,-40.6034,-34.8698,-38.5101,-38.1017,-36.671,-38.0594
-864.42,0.967645,0.4345,3,7,0,874.445,1.22459,0.928461,0.434562,0.695118,0.762318,0.633819,0.499097,0.720715,-0.666593,-0.0608028,-0.19816,-0.0531231,0.219178,-0.785765,0.0251181,-0.892758,0.0329023,-1.01153,-0.00928329,-1.58977,0.448463,-2.63214,20,-35.8028,-36.8721,-35.6043,-34.7207,-42.6263,-45.9911,-35.6619,-37.5296,-38.3289,-44.4799,-46.1222,-43.5481,-34.4635,-44.5742,-36.0018,-35.1092,-39.3829,-35.8115,-39.4353,-39.3429,-37.8115,-36.8602
-863.307,0.926032,0.4345,3,7,0,876.084,2.12284,1.2628,0.0673478,0.835906,0.23827,0.257533,0.319654,1.00832,-0.544754,-0.23637,-0.612863,-0.2156,-0.525133,-0.509116,-0.588302,-1.06599,0.017376,-0.506321,0.180358,-1.03686,-1.05989,-3.99884,20,-36.8318,-36.2258,-35.3537,-35.8336,-41.4687,-49.9408,-35.6719,-37.4853,-34.8748,-45.1263,-42.6192,-41.3072,-34.9898,-51.5144,-34.8335,-36.4288,-38.5512,-36.1233,-38.5568,-38.1886,-36.3026,-34.419
-859.726,0.895942,0.4345,3,7,0,873.098,1.67861,1.12895,0.284049,0.848271,0.223324,0.100708,0.432673,1.12135,-0.428139,-0.142204,-0.454338,-0.163317,-0.307863,-0.468272,-0.34812,-1.01395,0.198094,-0.92855,-0.0067075,-1.31221,0.96185,-0.536217,20,-36.2342,-36.1706,-35.7235,-35.7831,-40.4874,-47.733,-34.8824,-38.2899,-35.3889,-44.4897,-43.1963,-41.7436,-36.5659,-48.5436,-34.3779,-35.553,-39.2307,-36.6429,-39.3146,-39.1221,-36.575,-36.9871
-864.814,0.738119,0.4345,4,15,0,874.661,0.943887,0.401899,0.0286345,0.4062,-0.307817,-0.254423,-0.0585001,0.700539,-1.15599,-0.66883,-1.0812,-0.77703,-1.03479,-1.16993,-1.01196,-1.84891,-0.535185,-1.65184,-0.609864,-1.8215,-1.46487,-1.85178,20,-35.9642,-37.0614,-35.7121,-35.2613,-42.5007,-46.8699,-35.3963,-37.5552,-34.5612,-43.4122,-44.7925,-43.1064,-34.7256,-46.8103,-33.9058,-35.2559,-38.581,-37.0192,-40.0321,-41.2234,-36.418,-36.1929
-862.239,0.810795,0.4345,3,7,0,875.025,1.47454,0.832818,-0.433328,0.259637,0.185037,0.17344,-0.187759,0.254456,-1.04414,-0.693557,-0.729084,-0.584712,-0.207326,-0.951017,-0.821567,-1.25798,-0.524864,-0.993786,-0.312231,-1.73672,0.326975,-1.6007,20,-35.9958,-35.9962,-35.1696,-34.8833,-41.9962,-49.549,-36.063,-36.9787,-37.8374,-45.5257,-43.5309,-41.7251,-35.2436,-48.891,-36.0758,-35.3683,-38.9198,-35.3434,-37.5529,-37.0272,-37.1306,-36.8812
-869.349,0.692271,0.4345,3,7,0,876.518,1.42026,0.346758,0.117989,0.10755,0.224677,-0.292739,0.165045,0.415714,-1.13423,-0.468506,-0.170411,-0.461575,-0.19195,-0.709603,-0.692591,-1.37592,-0.871525,-1.0851,-0.221888,-1.87598,0.256206,-1.49849,20,-35.9025,-38.5508,-37.8384,-34.9975,-41.8762,-48.2559,-35.7372,-36.6695,-38.4031,-42.7015,-43.3596,-43.2686,-35.3778,-46.3557,-34.4318,-35.8951,-38.6702,-36.3444,-39.6888,-40.2402,-37.8681,-39.0918
-871.095,0.97983,0.4345,3,7,0,876.762,1.28199,1.41597,-0.249282,0.302363,0.113238,0.645461,0.217247,0.827947,-0.811497,-0.425014,-1.33569,-0.695723,-0.665616,-0.880544,-0.626456,-1.55922,0.130918,-1.25353,-0.0973451,-1.17326,-1.16446,-2.22134,20,-37.8775,-34.6592,-34.0284,-35.5086,-43.6411,-49.5941,-36.7111,-39.0869,-35.0528,-49.2107,-45.6689,-41.1947,-34.0746,-50.3719,-35.6466,-35.8818,-39.7822,-35.2462,-38.9215,-37.5318,-36.2115,-34.2621
-863.846,1,0.4345,3,7,0,877.882,1.68109,1.25764,0.212138,0.845793,0.154974,0.429315,0.140058,0.956584,-0.822873,-0.503464,-0.983372,-0.625715,-0.448608,-1.01375,-0.417044,-1.50857,0.335883,-1.18419,-0.366929,-1.64747,-0.738389,-2.49155,20,-36.2149,-35.5439,-33.7875,-34.141,-42.9076,-50.0134,-34.852,-39.1917,-35.1051,-47.2813,-45.8269,-41.9768,-33.0577,-51.0689,-34.7092,-34.4462,-40.272,-35.3843,-37.9673,-39.4182,-35.5835,-33.6556
-863.94,0.915114,0.4345,3,7,0,873.444,1.82157,1.26305,0.0231323,0.709365,0.176786,0.403644,-0.102915,0.639216,-0.745653,-0.583823,-0.697893,-0.238473,-0.135665,-0.416747,-0.54209,-1.21161,-0.0462323,-1.24091,-0.313663,-2.04114,-0.0143351,-3.59589,20,-34.8531,-36.088,-34.3207,-34.5948,-42.6949,-51.25,-34.6981,-38.2021,-36.6959,-47.1477,-44.5478,-41.2183,-33.9401,-51.1977,-35.1886,-34.1052,-39.2823,-35.6397,-36.9381,-38.4193,-36.902,-34.996
-860.191,0.995164,0.4345,3,7,0,869.173,1.27323,1.08492,0.11634,0.506064,0.194047,0.248972,0.199645,0.496832,-0.734162,-0.109757,-0.923469,-0.592378,-0.135404,-0.932541,-0.67587,-1.17074,-0.220029,-1.28775,-0.304114,-1.42608,-0.147327,-1.36523,20,-35.6064,-35.619,-34.1956,-34.9374,-42.1574,-49.0645,-35.2489,-37.0994,-36.9411,-45.9153,-44.8401,-42.5877,-34.5698,-47.4665,-35.3264,-34.9139,-38.9303,-36.6617,-39.7508,-38.6122,-36.3736,-35.8179
-858.919,0.801805,0.4345,3,15,0,871.179,1.79926,0.887454,0.174603,0.902022,0.502805,0.44216,0.385685,1.27897,-0.691164,-0.506477,-0.182299,-0.0349174,-0.320559,-0.607701,-0.0556824,-1.19165,-0.0975917,-0.65278,0.190879,-1.37881,-0.146025,-1.66763,20,-36.7333,-36.7964,-36.6951,-35.4649,-41.5308,-46.6081,-36.1381,-37.1654,-36.0353,-43.6146,-44.2813,-42.3042,-34.5023,-47.336,-34.6911,-36.3312,-38.5293,-35.193,-38.1407,-38.8009,-37.3508,-36.8272
-862.483,0.881084,0.4345,3,7,0,865.539,1.34831,1.4795,0.331447,0.53016,0.357338,0.120343,0.352383,0.512714,-0.691607,-0.215764,-0.655411,-0.617166,-0.0348906,-0.701536,-0.6187,-1.21591,0.0646753,-1.20585,-0.26728,-1.21002,-0.22496,-0.902812,20,-35.7941,-36.1566,-34.4357,-34.4222,-41.4118,-50.2711,-34.4887,-37.9105,-36.5334,-48.646,-44.428,-41.8842,-34.2367,-49.1464,-34.3949,-34.6925,-39.3023,-36.2703,-38.9691,-39.3194,-36.2291,-36.5748
-863.326,0.69087,0.4345,3,7,0,878.705,1.29546,1.2163,0.253817,0.301774,0.294077,0.173023,0.260686,0.836711,-1.04812,-0.1813,-0.725593,-0.610657,-0.246689,-0.615176,-0.646477,-1.32415,-0.0434564,-1.00418,-0.149093,-0.861565,-0.574358,-0.796122,20,-37.2098,-36.8732,-35.5421,-34.5154,-41.5766,-48.7148,-36.0993,-38.0648,-36.3596,-46.609,-43.8058,-41.9425,-34.5728,-47.2785,-34.4668,-35.9422,-39.2237,-35.6219,-38.9892,-39.4578,-36.6419,-37.1923
-869.216,0.900463,0.4345,3,15,0,878.537,1.01654,0.399888,-0.222537,0.693902,-0.344303,-0.061675,-0.49774,0.573105,-0.899372,-0.920379,-1.07198,-0.564269,-0.678026,-1.55016,-0.716507,-1.84712,-0.442572,-1.82051,-0.493901,-2.35081,-0.439121,-2.56485,20,-36.217,-35.6645,-35.064,-36.74,-42.4767,-47.3582,-35.2815,-37.6356,-36.5918,-44.0921,-45.9717,-43.2503,-34.9542,-48.0649,-35.3267,-34.9712,-40.1527,-37.0524,-38.32,-39.6314,-36.4409,-35.057
-871.176,0.882335,0.4345,3,7,0,882.727,1.14512,0.579785,-0.512961,-0.446373,-0.189681,-0.40449,-0.0393505,0.0812387,-1.77018,-0.803534,-1.2178,-1.19669,-0.855937,-0.992848,-1.06148,-1.93495,-1.01124,-1.23024,-0.786142,-1.71251,-1.24877,-2.24228,20,-36.2456,-37.61,-35.7951,-33.7155,-41.9923,-50.1934,-35.6869,-37.4966,-36.6757,-46.3086,-43.9588,-41.4839,-34.5242,-48.5442,-34.363,-36.5847,-37.6095,-35.271,-40.0147,-38.9656,-37.0189,-37.1327
-866.584,1,0.4345,3,15,0,880.729,1.24483,0.431098,-0.103792,0.917439,-0.051544,0.0483518,-0.306962,0.574092,-0.729406,-0.700697,-0.928874,-0.303705,-0.460588,-1.20671,-0.641147,-1.38343,-0.38705,-1.59107,-0.140934,-2.11259,0.00613433,-2.16425,20,-36.4561,-35.7646,-34.7356,-37.1735,-42.1719,-46.8421,-35.2544,-37.2529,-36.7386,-42.9277,-45.4019,-43.4784,-35.5439,-47.3064,-35.8182,-35.425,-40.0867,-37.2974,-38.5666,-39.1867,-37.3932,-35.6281
-866.351,0.889831,0.4345,3,7,0,879.913,1.35103,0.468941,-0.37224,0.868466,0.0961069,0.103796,0.00271345,0.315573,-0.600877,-0.72744,-0.790697,-0.42988,-0.340718,-1.19496,-0.379341,-1.48051,-0.550351,-1.49088,-0.294046,-2.05906,-0.231628,-2.94216,20,-35.633,-35.1753,-34.9983,-36.9171,-41.8334,-47.255,-35.0164,-36.7551,-37.616,-43.5493,-45.9144,-43.2107,-35.7302,-47.8088,-35.7473,-35.9533,-39.018,-37.1663,-39.3597,-37.7009,-37.527,-35.7911
