# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model3_model
# start_datetime = 2023-12-05 05:44:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmpeejy2vd4/u16nwyy7.json
# init = 2 (Default)
# random
#   seed = 12312
# output
#   file = /home/john/python_test/project/year2021_model3_sample/model3-20231204214446_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=model3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.352146
# Diagonal elements of inverse mass matrix:
# 0.127519, 0.132924, 0.1179, 0.11285, 0.115762, 0.0964527, 0.104691, 0.110728, 0.108001, 0.101951, 0.111897, 0.10554, 0.109836, 0.103296, 0.111244, 0.102935, 0.107043, 0.11209, 0.113084, 0.113257, 0.400386, 3.41464
-868.808,0.725551,0.352146,3,7,0,878.104,2.02996,1.17177,0.0893798,1.08514,0.958437,0.547034,0.668818,1.28956,-0.140099,0.0667494,-0.0216763,0.1933,-0.885204,-0.331141,-0.369661,-0.754484,-0.0368982,-0.413646,0.0933254,-1.10474,-0.647048,-2.64054,20,-35.3945,-36.6084,-37.2595,-36.477,-41.2717,-46.5247,-36.3064,-36.8597,-33.7305,-44.6087,-44.4493,-44.536,-36.2693,-48.9384,-35.7752,-35.9538,-36.5335,-36.8601,-40.2391,-38.3206,-38.874,-37.5055
-867.546,0.986005,0.352146,3,7,0,879.35,2.15323,1.19744,0.496837,1.40297,0.526169,0.660857,0.562908,1.4187,-0.926965,0.0727357,-0.381525,-0.101,-0.688398,-0.596965,-0.0360552,-1.13061,-0.444364,-0.696477,0.233195,-1.17702,-0.876117,-1.31902,20,-35.7491,-36.7624,-35.8005,-34.5342,-43.2674,-49.0767,-36.0854,-35.1084,-34.2681,-44.556,-46.9991,-44.5112,-34.4444,-48.947,-34.1795,-36.5897,-36.5862,-35.6094,-40.2827,-40.0245,-37.4902,-36.7503
-868.386,0.998508,0.352146,3,15,0,879.435,1.74201,1.41756,0.50129,0.645307,0.7573,0.419618,0.61586,0.903326,-0.716437,-0.178619,0.051639,0.0985596,0.76386,-0.226297,-0.00250612,-0.52969,0.54449,-0.522603,0.321384,-1.04888,-1.77505,-2.00995,20,-37.4695,-37.0563,-35.8361,-34.4943,-40.5667,-48.7564,-35.8534,-39.5908,-39.6809,-45.7141,-42.5391,-40.793,-34.214,-48.3261,-35.8497,-35.7748,-41.62,-35.216,-37.7772,-38.5881,-37.1008,-36.4308
-865.571,0.992217,0.352146,3,7,0,877.562,1.93686,1.35765,0.529321,1.48563,0.738282,0.989472,0.103075,1.07607,-0.0524513,-0.0516523,-0.184335,-0.189104,-0.476514,-0.411116,-0.182061,-0.870249,0.339993,-0.628916,0.529823,-0.998058,-0.324849,-0.866561,20,-36.7563,-36.1214,-35.27,-36.862,-43.6446,-46.4716,-36.0435,-36.7839,-33.9642,-44.6164,-45.8492,-43.6795,-35.1336,-48.6915,-35.9084,-35.3894,-39.0252,-36.9014,-37.355,-39.0317,-37.8516,-36.431
-860.593,0.990492,0.352146,3,7,0,871.764,2.04412,1.57319,0.681266,0.957189,0.649146,0.527922,0.880253,1.50565,-0.543742,0.231282,-0.310708,0.205079,0.271906,0.140948,0.21577,-0.887686,0.614865,-0.518631,0.381571,-0.825129,0.654296,-1.44807,20,-37.0862,-37.0181,-35.1694,-34.4158,-40.6822,-48.7395,-34.8511,-39.3005,-36.4588,-45.4057,-43.6268,-40.9261,-34.5344,-47.7259,-33.8183,-36.0248,-39.8974,-35.2173,-39.2456,-39.3343,-36.5732,-35.6332
-863.903,0.879362,0.352146,3,7,0,871.244,1.88827,1.27964,-0.0148581,0.917803,1.03645,0.859772,0.580873,1.13741,-0.201844,0.0893008,-0.334802,0.0102604,0.658935,-0.559062,0.191683,-0.605245,0.384915,-0.640058,0.588895,-1.07867,0.204092,-0.929402,20,-37.6773,-34.7683,-34.5028,-36.1958,-41.2782,-47.8566,-36.0198,-37.9793,-39.1993,-44.8742,-44.4867,-42.7983,-34.393,-47.2392,-36.3964,-36.2627,-40.8361,-35.531,-38.3842,-35.3644,-37.9461,-36.409
