# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-12-05 05:44:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpeejy2vd4/2m7gap4x.json
# init = 2 (Default)
# random
#   seed = 78697
# output
#   file = /home/john/python_test/project/year2021_model_sample/model-20231204214437_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.1539
# Diagonal elements of inverse mass matrix:
# 0.58554, 0.481415, 0.526416, 0.376927, 0.42608, 0.308598, 0.361247, 0.347991, 0.393818, 0.313694, 0.339386, 0.308893, 0.413257, 0.458099, 0.318572, 0.3466, 0.394774, 0.454457, 0.403201, 0.356665, 0.488517, 1.66966, 0.580691, 0.531158, 0.433829, 0.438529, 0.414589, 0.389808, 0.307744, 0.456509, 0.511688, 0.48004
-864.232,0.661407,0.1539,5,31,0,881.926,1.24988,0.568599,-0.50211,1.04213,-0.926753,-0.684575,0.323132,0.103695,-0.255183,0.219153,0.00265434,0.460838,-0.184438,-0.602725,-0.254799,0.566041,0.402428,-1.19695,0.146455,-0.158579,-0.0471652,-0.552162,0.616594,0.577287,-0.260141,0.530123,-0.81963,-0.402973,-0.853416,-0.476291,-0.38056,-1.63446,20,-34.9642,-35.5085,-34.6984,-34.7146,-42.0144,-52.2713,-34.5398,-36.4744,-35.5579,-46.7499,-45.179,-42.6926,-34.0265,-52.0194,-34.2378,-35.721,-38.1941,-36.4342,-40.142,-39.4158,-36.1717,-34.8608
-863.451,0.947863,0.1539,5,63,0,882.369,1.02964,1.06498,-0.575433,0.0238526,-0.270971,0.147447,-0.542402,0.979381,-0.73397,-0.658681,0.449845,0.841191,-0.115336,0.386906,-1.19776,0.00465804,-0.153009,0.40122,0.513226,-0.706893,0.747385,-2.65446,0.898683,0.454701,0.963561,0.0161027,0.100897,0.737562,-1.18565,-0.283657,-1.10483,-0.807053,20,-36.0637,-35.9895,-34.4513,-35.3835,-41.3482,-50.8869,-34.3897,-36.5515,-34.8777,-47.285,-44.4218,-42.3568,-33.8255,-50.4728,-34.5952,-35.7479,-38.5999,-36.5291,-39.9457,-38.8145,-36.3482,-33.5206
-863.887,0.954092,0.1539,5,31,0,875.8,0.29331,-0.00119424,-1.11627,0.176676,-0.212012,-0.562592,-0.242166,-0.00104809,-0.110024,-0.502518,-0.625546,-0.171586,-1.41532,-0.831787,-0.252964,-0.309055,0.610589,-1.43708,-1.71208,-0.411394,-0.0236988,0.411385,1.1152,0.626469,0.189645,0.792691,-0.820327,-0.0498223,-0.0855559,1.28998,0.281887,-1.43743,20,-35.8391,-37.4594,-35.4034,-34.5747,-41.8444,-47.8056,-35.1979,-38.4205,-37.8264,-44.2411,-44.9477,-42.6139,-34.3784,-47.0948,-34.7504,-34.859,-39.3879,-35.2601,-37.7298,-38.9876,-37.4987,-38.1449
-858.559,0.845872,0.1539,5,31,0,877.551,0.460018,1.46261,-1.13214,0.321912,0.384786,-0.154921,-0.116448,0.344564,-0.442508,-0.0746204,-0.428049,-0.394394,-0.748529,-0.537545,-0.433801,0.173628,0.144361,-0.642766,-0.173477,-0.0333584,-1.07568,-1.47302,1.21353,-0.0746011,0.312761,0.617061,-0.294239,-0.0297628,0.068716,0.336716,-0.136613,-1.71192,20,-36.1837,-36.0548,-35.8705,-34.9985,-42.1023,-49.8731,-34.9782,-36.673,-35.2536,-47.4115,-44.8287,-42.5762,-33.1875,-50.0612,-34.0978,-34.6379,-38.6005,-34.9625,-38.7433,-38.0758,-36.0887,-35.4413
-862.313,0.67919,0.1539,5,31,0,877.109,0.246138,1.2812,-1.3433,0.179883,0.504288,-0.409347,-0.590498,0.310644,-0.360073,-0.186162,-0.462264,-0.330445,-1.06723,-0.710747,0.0339582,0.599679,-0.290826,-1.24561,-1.05254,0.0558672,-0.62819,-0.893215,1.39907,-0.363295,0.671484,0.429291,-0.346362,-0.412533,-0.256444,0.777802,-0.0818389,-1.43799,20,-35.2721,-35.9332,-35.1352,-35.6765,-41.4619,-48.8622,-35.6944,-35.707,-36.7674,-44.8858,-44.4112,-42.139,-35.4266,-48.7309,-35.2536,-36.6776,-37.5816,-37.1135,-38.4388,-38.71,-38.0238,-35.0998
-866.844,0.883298,0.1539,5,31,0,876.809,2.3229,1.51913,0.656392,0.739587,0.978998,0.105244,0.730786,0.289307,-0.492747,0.328127,0.710598,0.994819,0.842692,-0.447882,0.170382,-0.695379,0.705311,-0.383742,1.17518,-0.244171,0.804223,0.215667,0.378024,0.130837,0.777417,1.46742,0.508631,0.364307,-0.320709,-0.348855,0.342128,-0.170025,20,-37.1797,-35.7061,-35.4834,-34.4477,-44.0729,-47.7999,-36.1887,-39.6382,-36.0508,-42.6986,-45.2508,-42.0897,-33.7255,-48.797,-34.816,-35.5938,-40.1573,-34.8965,-40.3303,-39.1179,-34.8231,-37.584
