# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-12-05 05:44:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmpeejy2vd4/2m7gap4x.json
# init = 2 (Default)
# random
#   seed = 78697
# output
#   file = /home/john/python_test/project/year2021_model_sample/model-20231204214437_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.132299
# Diagonal elements of inverse mass matrix:
# 0.469828, 0.51904, 0.441397, 0.519008, 0.448443, 0.451679, 0.524875, 0.463706, 0.415143, 0.398891, 0.399503, 0.400274, 0.44573, 0.532272, 0.396711, 0.48, 0.402408, 0.534082, 0.452859, 0.476432, 0.577455, 1.53434, 0.511453, 0.49929, 0.570794, 0.525673, 0.467619, 0.377982, 0.415864, 0.532013, 0.528095, 0.601156
-866.192,0.942863,0.132299,6,63,0,889.702,1.67777,1.24948,0.175678,1.40004,0.0213263,0.930886,1.33056,1.82353,-0.335151,-0.345963,0.423594,0.627559,-0.911967,-0.197553,-0.352368,-0.320467,0.435317,-0.402251,-0.610186,-0.496928,-0.427166,-6.33627,0.534724,0.716859,-0.377467,-0.0285932,0.0496615,0.606343,-0.321211,1.21582,0.056843,-0.69063,20,-36.3428,-36.1358,-35.8706,-34.5381,-41.6728,-50.3155,-35.0827,-37.5174,-35.9825,-47.7874,-44.3719,-41.4624,-33.0918,-50.3911,-33.5498,-35.1108,-38.9765,-34.7359,-38.8923,-38.6706,-35.5922,-34.7468
-865.086,0.98135,0.132299,5,63,0,878.462,1.06452,0.904318,-0.666797,-0.356517,0.126745,1.02618,-1.1394,1.1167,-0.469865,-0.272195,-0.933166,-0.993443,-0.0636297,-0.241927,-0.245015,-0.0856674,0.378797,-0.568786,0.436498,-0.19856,0.163947,1.35425,0.82516,0.186424,1.36532,-0.464298,-0.323809,-0.0880656,0.517968,-0.417361,-0.224588,-0.994192,20,-36.1737,-36.1962,-35.227,-34.6815,-42.7908,-48.1842,-35.6435,-37.5838,-35.1269,-44.4437,-44.7834,-41.799,-35.6009,-49.0004,-35.078,-35.7964,-38.6125,-35.4243,-37.9727,-38.6263,-37.1106,-40.4475
-863.566,0.869782,0.132299,6,63,0,879.135,1.28924,-0.0327111,-0.277161,1.20319,-1.04087,-0.327005,0.354375,0.732383,-0.0301165,0.435821,-0.998472,-0.447031,-0.0602753,-0.0623044,0.290065,0.0134411,0.55783,-0.38823,-0.0437585,-0.280847,-1.44916,-7.44114,0.491036,1.55764,0.0597569,0.488155,-0.607484,-0.505238,0.452052,0.0645378,-0.417741,-1.0178,20,-35.4899,-35.6535,-34.8055,-34.8897,-39.4426,-49.8892,-34.6631,-36.8158,-36.0912,-47.3817,-44.8593,-42.9545,-34.4603,-49.2029,-34.2865,-35.3418,-38.4918,-35.7772,-39.2033,-38.2868,-37.1016,-34.6952
-867.517,0.8609,0.132299,5,63,0,879.733,2.16007,0.404461,0.409128,0.426543,-0.665008,-0.742564,-0.237697,0.387112,-0.607664,-0.806944,-1.8814,-1.19529,0.160981,-0.976715,-1.12678,-0.478491,0.0159257,-1.44241,0.152223,-0.747894,-0.450598,-4.08782,-0.50383,1.00874,0.563594,0.896327,-0.137594,0.552082,0.834789,-0.139299,0.496413,-0.694713,20,-36.418,-35.262,-34.2989,-35.2028,-39.9306,-50.7956,-35.1648,-37.6126,-36.5192,-47.5428,-43.9887,-42.4484,-34.9784,-48.9862,-34.3836,-35.5505,-39.5437,-35.9707,-39.21,-37.5194,-37.1865,-33.8402
-873.876,0.718994,0.132299,5,63,0,893.293,2.41311,-0.149638,0.661514,1.51413,-0.787543,0.093126,0.984652,0.910724,-1.12264,-1.62041,0.890388,1.03951,-0.0888858,0.415737,-1.40955,0.0959443,-0.204678,0.17902,0.325479,0.0820209,0.0660181,-9.83784,-0.305297,1.51663,-0.155689,0.356062,0.747578,1.33196,-1.10622,0.175887,-1.09943,-0.81032,20,-37.5969,-34.5736,-34.9814,-35.838,-40.7455,-48.023,-35.3439,-38.4957,-36.1133,-44.8342,-43.8265,-42.265,-34.8605,-49.7748,-34.5173,-36.7669,-40.3665,-35.7617,-38.9567,-37.9426,-37.0971,-34.5201
-871.932,0.938702,0.132299,5,31,0,887.461,0.936122,0.0678208,-0.674967,0.306207,-0.360816,0.0995858,-0.148805,0.724492,0.179449,-1.12969,-0.973893,-0.799259,0.349527,0.912998,-0.957898,-0.357539,1.0913,0.271199,0.822617,-0.231992,-0.236113,-8.4995,1.21988,1.07276,1.0269,0.409636,-1.00078,1.16015,0.657801,-0.286842,-1.52563,-0.678757,20,-37.2393,-35.4994,-34.5534,-34.8543,-42.2274,-48.7914,-34.7574,-36.9801,-36.7551,-43.9604,-46.1771,-43.5243,-34.5461,-47.9133,-33.294,-37.3175,-39.4021,-35.1807,-40.3475,-38.9392,-37.3326,-35.3158
-875.013,0.851235,0.132299,6,63,0,894.75,1.48235,1.37983,-0.0212289,-0.114859,0.332522,-0.10266,-0.380504,0.515194,-1.47126,0.498829,0.593408,0.538232,-0.249514,-1.10598,1.31299,0.332477,-0.416033,-1.41689,-0.333249,-0.48916,0.961164,1.13722,0.234475,-0.349769,0.518079,0.380416,0.49372,-1.5039,-1.11184,0.129527,0.89733,-1.56278,20,-36.7045,-38.9381,-36.414,-34.4776,-42.7642,-49.5499,-35.5287,-39.8706,-37.46,-45.5304,-43.3122,-38.8237,-33.8396,-49.4234,-35.4916,-35.8767,-40.3393,-35.8046,-36.8112,-40.4309,-37.1386,-38.0451
-870.891,0.967799,0.132299,6,63,0,896.315,1.41254,0.739059,0.181643,0.583901,0.0893036,-0.0392869,-0.127116,0.15061,-1.23025,1.3443,0.0583528,0.235337,-0.992616,-1.43782,1.39128,0.692121,-0.573476,-2.161,-0.610961,-0.21003,0.482732,1.15436,0.0776225,0.456423,0.378291,0.629549,0.477423,-1.56333,-0.493982,0.582992,0.491829,-1.81307,20,-35.1705,-35.3472,-34.8541,-34.894,-43.2624,-48.195,-34.7353,-36.667,-35.7464,-46.9884,-47.5386,-44.3457,-33.6633,-48.2164,-34.9588,-34.6524,-38.59,-35.5114,-39.1991,-39.0029,-37.9438,-38.0195
-868.044,0.962221,0.132299,5,31,0,888.018,2.01431,1.2736,0.196072,-0.295783,0.222779,-0.314373,-0.771095,0.267877,-1.46513,0.464813,0.604481,0.691188,-0.631959,-1.09098,0.366744,-0.390367,-0.937415,-1.26166,-0.778766,0.0110133,0.422319,-3.66473,-0.0861244,0.35049,1.0717,0.63775,0.861514,-0.519181,-0.931575,0.741266,0.134579,-1.4084,20,-35.5308,-34.8236,-34.9846,-34.4495,-40.8896,-52.452,-34.3139,-36.3663,-37.4628,-49.5392,-45.8411,-43.2656,-33.3921,-52.0101,-33.1766,-34.7858,-38.8385,-34.6904,-38.625,-37.1326,-35.5022,-35.234
-869.016,0.749424,0.132299,5,31,0,889.324,0.47174,0.128704,-0.284975,0.407549,0.057186,-0.958747,-0.000628834,-0.665727,-0.774337,0.18298,-0.898424,-0.56495,-0.510224,0.241362,0.283462,-0.0912854,0.187838,0.356734,-0.0102667,-1.22808,-1.02554,0.467846,0.810183,0.339989,0.394826,1.5387,-0.317676,-0.71885,0.198009,0.178516,-1.28592,-0.61186,20,-36.9553,-38.0662,-34.9255,-35.1561,-44.9236,-44.9852,-36.5726,-37.6071,-36.3437,-41.8474,-45.753,-43.1112,-33.5051,-44.1703,-36.8289,-36.0647,-39.724,-36.7995,-39.3721,-41.4978,-38.1988,-39.2085
-867.594,0.705299,0.132299,5,31,0,890.2,2.11504,1.50612,-0.109456,1.06138,0.318524,0.849412,0.418638,1.73086,0.0137451,-0.633244,-0.626388,-0.548441,0.00943886,-0.768828,-0.722508,-0.102041,0.476609,-1.48745,0.162926,-0.257422,-1.43583,-4.38338,0.532282,0.315447,0.518102,-0.0673753,-0.307711,0.862265,0.536246,0.275781,0.788609,-0.72248,20,-35.2846,-34.6845,-35.1207,-34.4858,-41.5263,-52.2937,-34.9226,-36.5595,-35.94,-46.4417,-44.8371,-42.3011,-34.4652,-52.5499,-33.1677,-36.0418,-38.0998,-35.5385,-39.5094,-37.4543,-36.6712,-34.5117
-864.511,0.828688,0.132299,6,63,0,883.038,1.19838,0.975395,-0.205951,0.812944,-0.382083,1.02974,0.0984908,1.19977,0.659158,0.755127,-0.422583,-0.214764,-0.163819,-0.367903,0.715282,0.828699,1.57323,-0.922094,0.125574,0.410408,-0.36029,-1.29034,0.268391,0.235471,-0.023658,-0.424667,-1.38286,-1.42039,-0.344627,-0.107008,-0.144852,-2.00293,20,-37.0374,-35.7281,-34.6325,-35.46,-43.516,-48.7403,-35.9946,-39.1245,-35.7255,-45.9167,-43.9945,-40.0534,-33.8494,-49.2388,-35.7201,-34.978,-40.5721,-36.0121,-37.4055,-38.849,-36.2528,-34.0584
