# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model2_model
# start_datetime = 2023-11-30 10:37:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmptpa5mti2/_gq7wf_d.json
# init = 2 (Default)
# random
#   seed = 52986
# output
#   file = /home/john/python_test/project/year2023_model2_sample/model2-20231130023722_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=model2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,t_r.1,t_r.2,t_r.3,t_r.4,t_r.5,t_r.6,t_r.7,t_r.8,t_r.9,t_r.10,t_r.11,t_r.12,t_r.13,t_r.14,t_r.15,t_r.16,t_r.17,t_r.18,t_r.19,t_r.20,t_r.21,t_r.22,t_s.1,t_s.2,t_s.3,t_s.4,t_s.5,t_s.6,t_s.7,t_s.8,t_s.9,t_s.10,t_s.11,t_s.12,t_s.13,t_s.14,t_s.15,t_s.16,t_s.17,t_s.18,t_s.19,t_s.20,t_s.21,t_s.22,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.120619
# Diagonal elements of inverse mass matrix:
# 2.11444, 0.790371, 0.560456, 0.845697, 0.669638, 0.656154, 0.600628, 0.570119, 0.603583, 0.623359, 0.514094, 0.641176, 0.644094, 0.505129, 0.622323, 0.819287, 0.640725, 0.643701, 0.645313, 0.56591, 0.673274, 0.712842, 1.04558, 0.549541, 0.645969, 0.519334, 0.608748, 0.645474, 0.521826, 0.438102, 0.622365, 0.590784, 5.58723, 0.587432, 0.515839, 0.605067, 0.500366, 0.580257, 0.467004, 0.440626, 0.476281, 0.44664, 0.377995, 0.517832, 0.487646, 0.485935, 0.529353, 0.505819, 0.731079, 0.563036, 0.489258, 0.530795, 0.719217, 0.585608, 1.51755, 0.527571, 0.576619, 0.677761, 0.521552, 0.666177, 0.481666, 0.481209, 0.485284, 0.456745, 0.510335, 0.560084, 0.471712, 0.528003, 0.545099, 0.558917, 0.606431, 0.573656, 0.530774, 0.54978, 0.847748, 0.894435
-875.062,0.899225,0.120619,6,63,0,908.892,-0.292005,-4.78393,-0.548526,-0.361825,1.99599,-2.11006,2.58933,-0.29995,0.601691,0.100318,0.19112,0.411438,0.0518689,-0.185546,0.023245,0.538521,0.521471,0.386557,-1.10835,-0.460519,0.343552,0.12525,6.22638,1.74724,1.74673,-1.11269,-1.08254,-0.0835835,0.182714,-0.60361,-0.38787,0.129705,-0.296183,-0.885083,-0.874745,-1.18925,-0.792806,0.64214,-0.549764,1.05794,-1.06191,-0.526798,0.305177,-1.78487,0.160588,0.577056,-0.147755,0.234827,0.449775,-0.618746,-0.62053,0.137783,-0.358388,0.187124,-0.926476,0.546612,0.566858,0.608033,1.89403,0.732401,-0.769025,1.05969,0.291996,-0.646323,0.37551,-0.930416,0.872653,-0.425997,0.516547,1.0601,-0.540805,0.577034,0.0980079,-0.157749,-0.207171,3.40185,20,-40.601,-35.1556,-40.296,-35.7859,-32.1419,-41.3644,-37.9466,-35.5877,-36.2774,-36.6861,-34.8838,-37.311,-38.6413,-37.7049,-45.3784,-39.3594,-38.5145,-38.792,-41.6471,-39.2085,-36.1507,-37.0441
-879.286,0.654944,0.120619,6,63,0,925.138,0.829848,-5.60599,-0.499296,0.0754602,1.13387,-1.70174,2.46968,-0.721177,0.892417,-0.282971,-1.03889,0.504616,-0.791365,-1.15353,-0.730457,-0.22861,0.718322,0.261715,-0.421786,-0.624801,-0.694258,-1.19065,4.82559,0.741358,0.936854,-1.18573,-1.13176,-0.632627,-0.516329,-1.02782,-0.61217,-0.33574,0.984584,0.845872,-0.0502068,-1.39742,0.223742,0.276819,-1.16264,0.41729,-0.983458,-0.329698,0.788309,-0.884587,-0.0445251,0.324309,-0.536494,0.414172,0.351716,-0.334797,-0.90732,0.134954,1.04628,0.481949,-3.40248,0.975941,0.395822,-0.489017,0.751561,-1.38847,-1.8945,0.471916,-0.507997,-0.206552,1.13577,-2.31019,0.869012,0.485578,-0.767155,-0.262494,-1.10874,0.33132,-0.363743,0.16021,-1.16047,2.00274,20,-42.4091,-34.0161,-45.7451,-35.5329,-33.8153,-36.5215,-39.8881,-35.2646,-31.9256,-35.706,-36.0644,-36.8482,-39.6375,-36.174,-41.5323,-38.3215,-41.0045,-42.4975,-41.8247,-37.9491,-38.4461,-35.0564
-872.973,0.931322,0.120619,6,63,0,920.367,-0.925352,-6.95688,0.0234669,-0.474284,0.889533,-0.774518,1.8418,-0.708153,0.950253,-0.134861,-0.868827,0.463175,-1.33783,-0.562864,0.191351,-0.617355,0.894982,-0.567108,0.0441478,0.517021,-0.425661,-0.200999,6.21599,-0.305091,0.26692,-0.658999,-0.378449,-0.877644,-0.42557,-0.426684,-0.84632,-0.607856,0.397706,0.876747,0.25847,0.285866,-0.172398,0.788712,-0.315855,0.430972,-0.0594726,0.102392,0.666613,-1.52195,0.402844,0.424594,-0.212613,-0.0695354,0.257179,0.588711,-0.585977,-0.31608,0.381659,0.803946,-1.80088,0.533062,0.170967,1.24555,1.45995,-0.168625,-2.17265,0.175883,-0.620758,-0.184166,0.0560087,-1.34465,0.183706,-0.872296,-0.23875,-0.181606,-1.07146,1.20218,-1.2811,-0.209143,0.689455,1.04245,20,-40.2117,-38.9666,-39.158,-37.7074,-38.3609,-36.3647,-36.6811,-33.9493,-35.3289,-36.1063,-36.9145,-38.6853,-39.0752,-36.0883,-41.8819,-38.7185,-41.45,-39.7155,-39.8068,-39.7045,-38.8123,-35.2483
-869.265,0.84674,0.120619,6,63,0,909.839,0.249092,-4.64532,0.927027,0.024488,1.96734,-1.46602,0.25139,0.222342,-1.07058,-0.336812,0.19931,-0.667144,0.113413,-0.439581,-0.321274,0.37598,1.10781,-1.3398,-0.885486,-0.160394,0.352371,0.48917,4.6538,0.402998,0.17029,-0.633051,-0.122839,0.802632,-0.0664287,0.166499,-0.386035,-0.179132,0.5662,0.554311,0.17352,-0.147026,-0.741583,1.23046,1.23309,-0.655804,0.320695,0.355854,-0.0751507,0.29915,0.0977171,-0.3512,0.222964,-0.345475,0.25234,0.0664586,0.913695,0.140574,-0.9212,-0.704363,-1.78512,1.12136,-0.0921182,1.29421,0.739278,0.134172,-0.127608,-0.503171,0.479489,0.763296,-0.906356,-0.935018,0.554081,-0.756975,0.413061,-0.0725945,-1.9018,1.18223,1.99648,0.406239,-2.49645,0.253879,20,-39.3818,-36.147,-46.5709,-37.4718,-34.2483,-38.8187,-38.3972,-32.4305,-35.5441,-35.9523,-36.6609,-35.7178,-38.1496,-38.195,-39.826,-37.9361,-39.0595,-42.0223,-43.9401,-37.8885,-36.1361,-35.8322
-867.879,0.991039,0.120619,6,63,0,899.475,1.97717,3.01744,-0.128551,0.602959,-0.797109,0.234236,-0.144121,-0.591643,1.29224,0.150948,-0.232576,-0.172093,-0.0828783,-0.340094,-0.365419,0.0950216,-0.876181,1.37334,1.44055,0.0966363,-1.12329,0.570282,-0.865002,0.211618,0.144054,0.948402,-0.842318,-1.16974,-0.600847,-0.910145,-0.200149,0.113166,3.84633,-1.27261,0.371073,-0.523759,0.338387,-1.12117,-0.400459,0.589871,-0.819556,0.113552,0.0721484,-0.607839,-0.282322,0.201531,-0.36388,0.35021,1.52657,-0.509137,-1.95228,-0.495713,1.76753,0.12008,1.42006,-0.920521,1.32029,-0.00280765,1.04226,-1.50416,-0.499511,0.28156,-0.187904,-0.832127,0.946696,-0.296787,-0.089331,0.0197455,-0.399636,0.122007,0.174707,-0.908281,-0.699545,-0.475614,-0.106805,1.36436,20,-40.4287,-32.399,-44.8696,-33.2791,-33.8236,-39.4763,-36.9823,-37.2579,-34.0963,-36.0395,-34.9368,-38.2717,-36.5231,-34.9883,-41.9492,-40.3795,-41.9182,-41.5893,-43.8793,-38.3236,-37.611,-37.3457
-857.429,0.899197,0.120619,6,63,0,894.363,-0.358564,-6.2652,0.664806,0.960126,1.32673,-0.339015,-0.438598,-0.383376,-0.0993399,0.424944,-0.466298,0.190973,-0.392539,-0.121855,-0.0451109,-0.64549,0.891483,-0.663739,-0.203201,0.290275,-0.591047,-0.0754449,6.70411,0.418399,0.257219,0.884858,0.415174,0.236452,-0.811298,0.698958,0.1506,-0.195698,-1.2444,0.0585639,-0.294263,-0.647508,-1.30512,-0.0975398,0.478916,-0.286563,-0.352683,0.591024,-0.630631,0.388003,-0.00102551,-0.927193,-0.0550575,0.375531,0.128858,0.419342,0.123387,-0.255896,0.101824,-0.197487,-1.47222,1.20429,1.08884,0.514765,0.337668,-0.223888,0.193793,-0.198922,0.762762,0.240563,0.595101,-0.000685682,0.388299,-1.12932,-0.245188,0.512313,-0.597677,0.449973,1.45878,0.235823,-1.80014,0.886522,20,-38.6137,-33.9126,-42.4645,-34.3439,-32.7058,-37.2379,-37.2191,-33.9291,-35.824,-35.847,-35.8791,-38.0291,-38.5613,-35.6378,-44.725,-37.6414,-41.6553,-41.084,-39.6121,-38.9543,-38.2641,-37.5108
