# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model2_model
# start_datetime = 2023-11-30 10:37:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmptpa5mti2/_gq7wf_d.json
# init = 2 (Default)
# random
#   seed = 52986
# output
#   file = /home/john/python_test/project/year2023_model2_sample/model2-20231130023722_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=model2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,t_r.1,t_r.2,t_r.3,t_r.4,t_r.5,t_r.6,t_r.7,t_r.8,t_r.9,t_r.10,t_r.11,t_r.12,t_r.13,t_r.14,t_r.15,t_r.16,t_r.17,t_r.18,t_r.19,t_r.20,t_r.21,t_r.22,t_s.1,t_s.2,t_s.3,t_s.4,t_s.5,t_s.6,t_s.7,t_s.8,t_s.9,t_s.10,t_s.11,t_s.12,t_s.13,t_s.14,t_s.15,t_s.16,t_s.17,t_s.18,t_s.19,t_s.20,t_s.21,t_s.22,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.120725
# Diagonal elements of inverse mass matrix:
# 2.25607, 0.963582, 1.00886, 0.591637, 0.658323, 0.719965, 0.650591, 0.711367, 0.603505, 0.543449, 0.497499, 0.706383, 0.523929, 0.616722, 0.736336, 0.777775, 0.707567, 0.701355, 0.5698, 0.618245, 0.633018, 0.722159, 1.25791, 0.69725, 0.562154, 0.517628, 0.633512, 0.600774, 0.616295, 0.449649, 0.551935, 0.656602, 4.88442, 0.80373, 0.47401, 0.539463, 0.6073, 0.649667, 0.586141, 0.537799, 0.469875, 0.490402, 0.531139, 0.510898, 0.397212, 0.579207, 0.553678, 0.564242, 0.652469, 0.513619, 0.566248, 0.58343, 0.443824, 0.734716, 1.41359, 0.72946, 0.52568, 0.568778, 0.608715, 0.717773, 0.622457, 0.55797, 0.492279, 0.492011, 0.51855, 0.515872, 0.376132, 0.584171, 0.553927, 0.603768, 0.682539, 0.603538, 0.540911, 0.592576, 0.81858, 0.951569
-869.381,0.975452,0.120725,6,63,0,907.423,0.335334,-1.68266,-0.060402,-0.119833,0.384907,-0.690928,-0.821392,-1.21653,0.38314,0.015315,-0.515321,-1.03105,1.43724,0.0186236,0.585891,-1.17784,0.383322,-0.680506,0.646096,-1.95009,-0.361302,1.1639,2.90485,0.400092,-0.188852,0.277188,0.308984,0.589309,-0.0588306,-0.920466,-2.76093,-0.289398,4.97701,-0.623318,0.0135807,0.0772274,-0.683859,-0.381265,0.636984,-0.289307,-1.31138,-0.875941,0.630789,0.0547068,-0.715071,0.167396,0.485936,-0.200337,0.367749,-1.29853,-1.41226,0.950624,0.314878,-1.11094,-0.403427,-1.26651,0.465812,1.03597,1.01252,-1.52229,-0.0486623,-0.340674,-0.0865837,-0.951462,0.747029,-0.758718,0.735442,-0.994807,0.820563,-0.210945,-0.749075,0.350243,0.0108294,2.06239,0.0760387,0.616591,20,-37.8146,-34.5262,-45.3315,-37.2754,-35.5018,-34.3643,-38.2855,-34.9805,-33.3463,-35.6003,-37.0816,-36.5368,-37.4649,-35.8696,-40.6055,-42.3183,-42.5228,-40.0584,-46.2701,-35.918,-37.6973,-35.4568
-872.849,0.871293,0.120725,6,63,0,910.18,0.745097,-2.09859,0.855191,-0.965506,0.114644,0.121082,-0.887253,-0.786427,-0.53324,-0.358369,0.489505,-0.530866,0.349872,1.16542,0.204605,-0.501136,0.558755,-0.155376,1.21983,-0.815627,0.466128,1.61302,2.89578,-0.279751,-0.178664,0.160009,-0.0598903,0.6289,0.002573,-0.919117,-1.6604,-0.668285,2.56966,-1.23531,-0.102321,0.566425,0.123891,-0.252037,1.56059,0.028805,0.262489,-0.622068,-0.0854202,-0.451871,0.714651,-1.29568,0.399856,0.350282,0.772837,-1.31798,-1.32259,1.26027,0.305256,-1.0432,-0.716511,0.387975,0.986022,1.80443,1.19554,-0.756214,0.722996,0.254434,-0.319811,-0.667992,-0.15031,-0.0369586,0.117486,-1.68101,0.203423,0.16205,-0.248225,-1.43964,-0.835316,0.685634,-0.45629,-0.0837037,20,-41.1641,-34.8489,-40.3581,-34.7056,-35.0079,-39.0696,-37.8893,-36.5988,-35.7651,-37.681,-39.517,-37.4811,-39.8242,-37.9694,-43.3309,-35.9193,-39.1117,-41.7058,-39.4271,-39.322,-38.5063,-36.3992
-876.921,0.73639,0.120725,6,63,0,910.122,3.73478,0.799185,1.05574,1.35618,0.587188,-0.754932,0.612381,-0.231939,1.17449,0.015177,-0.635717,0.158631,-0.761612,-1.6006,-0.113778,0.0996766,-0.482463,-0.750286,-1.26878,0.232922,-0.821635,-1.3583,0.174165,0.540568,0.696192,0.879713,-0.317344,-0.799976,-0.734706,0.381187,0.722231,0.84316,5.65857,0.299402,-0.0645838,-1.43662,-0.895672,0.732159,-0.513036,-0.629043,-0.575958,0.821182,0.210725,0.195796,-0.385659,0.94053,-0.731393,0.159904,1.10399,0.647048,0.55873,-1.61863,0.203902,0.95364,-0.0588514,-0.435303,0.274488,-0.390577,0.703537,-0.863251,-1.52466,-0.39783,1.34404,0.0971815,0.0673175,-0.700285,-1.03964,0.256955,-0.415988,-0.189232,-0.791746,1.74311,1.48203,-0.812233,-0.300048,1.36493,20,-38.7847,-34.1783,-44.5597,-39.0733,-35.3626,-34.1497,-38.6993,-35.298,-34.6521,-34.4131,-34.8326,-37.1968,-38.0084,-36.7025,-42.7301,-41.0403,-41.7941,-40.6514,-47.1959,-36.9548,-39.6258,-36.3249
-865.029,0.592717,0.120725,6,63,0,927.303,0.61274,-2.57389,0.0905529,-0.840292,0.017261,-0.341457,-0.727923,-0.775324,-0.619971,-0.0191367,0.962077,-1.09936,0.258143,0.594352,0.139435,-0.0408,1.04507,-0.243532,1.03708,-0.519227,0.732564,2.54566,2.90024,0.337806,-0.287258,-0.364529,-0.495561,0.792171,-0.243454,-1.58515,-1.70007,-1.27543,2.32649,-0.316462,-0.0915454,0.755153,0.347079,-0.506444,1.38371,0.309767,-0.218364,-0.102962,-0.127455,-0.3003,0.107854,-0.790488,0.65981,-0.298453,0.558549,-1.64325,-1.1864,1.47551,0.424562,-0.698423,-0.457116,0.387037,1.05037,1.77707,1.09909,-1.39546,0.19312,0.347627,-0.0568779,-0.511228,-0.0473492,-0.0921524,0.297117,-1.45885,0.149013,-0.303772,-0.649263,-1.62035,-1.10882,0.168826,0.359094,-0.598803,20,-40.4006,-35.5922,-40.8111,-34.9489,-32.4766,-38.869,-36.8034,-34.1984,-35.4165,-35.8682,-37.1877,-38.2432,-36.9221,-36.3196,-45.1466,-38.0821,-40.5992,-40.7721,-40.9034,-38.7444,-38.7072,-35.1901
-873.055,0.719942,0.120725,6,63,0,907.038,0.903291,0.513997,1.32497,1.56893,0.601428,-0.974129,0.391048,0.525282,1.12111,0.311526,-0.901983,0.104059,-1.15454,-2.19272,-1.23682,0.00302839,-0.325724,-0.0785095,-1.05751,-0.0795745,-0.106464,-1.80627,0.839018,0.0250355,0.838335,1.1201,-0.485783,-0.987788,-0.485957,0.567721,1.93551,1.07875,4.12527,-0.877407,-0.0686246,-1.78484,-0.942502,1.30867,-0.614179,-0.254864,0.30425,0.553586,0.170623,0.183623,-1.04683,0.174258,-0.424097,0.323363,0.478019,0.372588,0.524671,-1.6637,-0.311495,0.427278,1.44307,-0.0399044,0.257882,-0.519463,0.506815,-0.260673,-0.885709,-0.809501,0.625822,-0.745229,-0.0493469,-0.728917,-0.862641,0.451097,-0.455646,0.116721,-0.543785,1.85852,1.67483,-0.508454,0.835152,1.23383,20,-38.5567,-32.283,-46.8244,-35.2749,-35.2591,-36.5765,-39.5718,-35.932,-36.0072,-35.6179,-37.0601,-37.3418,-38.2692,-36.7492,-40.0035,-38.9453,-41.5306,-40.5482,-41.4701,-38.3112,-38.9316,-37.5187
-865.766,0.989588,0.120725,5,63,0,927,1.45442,1.16457,-1.33791,1.08251,0.411978,-0.0765298,1.16155,0.159157,-0.673076,-0.394919,0.655303,-0.817921,-1.26263,0.271368,-0.283196,-0.432564,-0.243168,-0.481685,0.224877,-0.833678,0.480805,1.11144,0.767568,0.0996718,-0.06955,-0.324931,-0.473033,-0.169694,-0.388051,-1.3323,-0.410059,1.08883,3.4499,-1.13473,1.46151,-1.3066,0.258309,-0.655445,0.217357,-0.68091,0.519741,-0.0557252,-0.523479,0.227528,-0.0968183,0.523866,-0.486004,0.473934,-0.111206,-0.224531,-0.332867,-0.536338,-0.0900472,0.314381,1.02942,-0.845939,2.46855,-0.426523,0.919946,-0.863516,-1.47014,-0.196268,1.07423,0.481252,0.0849589,0.252095,0.641571,0.142075,-0.548235,0.349374,-1.51321,-0.305469,-0.129647,-1.61066,0.460538,0.576658,20,-41.6185,-36.558,-40.3669,-36.454,-33.5838,-39.266,-37.3441,-34.5757,-33.2524,-34.4895,-35.4226,-37.1841,-41.3771,-33.6599,-43.3975,-40.6449,-40.9529,-41.8531,-44.2526,-40.6492,-37.4086,-33.8029
