# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model2_model
# start_datetime = 2023-11-30 10:45:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpowa51cil/jkzzpkla.json
# init = 2 (Default)
# random
#   seed = 51491
# output
#   file = /home/john/python_test/project/year2023_model2_sample/model2-20231130024544_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=model2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,t_r.1,t_r.2,t_r.3,t_r.4,t_r.5,t_r.6,t_r.7,t_r.8,t_r.9,t_r.10,t_r.11,t_r.12,t_r.13,t_r.14,t_r.15,t_r.16,t_r.17,t_r.18,t_r.19,t_r.20,t_r.21,t_r.22,t_s.1,t_s.2,t_s.3,t_s.4,t_s.5,t_s.6,t_s.7,t_s.8,t_s.9,t_s.10,t_s.11,t_s.12,t_s.13,t_s.14,t_s.15,t_s.16,t_s.17,t_s.18,t_s.19,t_s.20,t_s.21,t_s.22,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.114704
# Diagonal elements of inverse mass matrix:
# 2.52282, 0.911034, 0.698104, 0.65176, 0.569657, 0.696376, 0.610726, 0.649742, 0.868916, 0.599211, 0.568057, 0.753858, 0.551415, 0.627752, 0.631686, 0.565333, 0.73789, 0.639901, 0.591618, 0.656828, 0.542345, 0.685892, 1.06717, 0.623747, 0.561113, 0.583199, 0.561986, 0.618062, 0.584959, 0.483214, 0.612841, 0.62689, 5.81343, 0.724877, 0.603057, 0.565568, 0.677373, 0.560977, 0.559624, 0.498622, 0.648787, 0.480078, 0.576158, 0.514116, 0.508573, 0.630087, 0.555835, 0.464445, 0.56972, 0.602328, 0.586809, 0.512673, 0.597949, 0.522459, 1.50968, 0.635692, 0.611858, 0.702174, 0.702269, 0.634744, 0.641403, 0.516482, 0.652033, 0.560788, 0.575605, 0.579299, 0.489837, 0.554188, 0.518708, 0.501395, 0.625356, 0.620564, 0.602065, 0.554228, 0.687295, 0.99309
-872.617,0.952753,0.114704,6,63,0,911.866,-0.22472,-0.45231,-0.477473,-0.813371,2.34264,-0.896679,0.0741286,-0.0111992,0.698488,-0.391672,0.00830554,-0.924093,0.541119,-0.762684,1.37935,0.0993551,0.631417,-0.258378,0.736904,-0.343459,0.229068,0.0622911,-0.251905,0.591231,0.448764,-0.7248,0.534707,-0.665956,-0.050514,-0.352152,-0.261019,0.458596,5.42569,0.851685,-0.560937,-0.454076,-1.41292,0.505257,0.916843,-1.46067,-0.660281,0.62576,-0.329109,-0.430742,-1.66143,0.36299,-2.61556,-0.961358,-0.31147,-0.13954,-1.70203,-0.838503,-0.321849,-0.552721,4.48047,1.42839,1.2626,1.7321,0.0602653,-0.902984,0.456004,-0.670622,0.471136,0.338793,0.194643,-0.21131,-0.472903,-1.20854,-1.55881,-0.891565,-1.20554,0.569592,-0.35127,-0.274922,-0.196935,0.293143,20,-41.1854,-36.2858,-43.5915,-34.8666,-34.245,-36.4888,-39.1461,-33.7244,-34.6767,-35.7821,-35.7184,-36.6796,-38.9482,-37.43,-41.3598,-41.4017,-39.7206,-40.0399,-41.354,-40.7151,-37.8838,-35.7666
-873.513,0.968703,0.114704,6,63,0,912.333,4.43241,0.255079,1.86134,1.20459,-1.0713,-0.100797,-0.170639,-0.0140861,-0.848374,0.547004,-0.0320246,-0.165815,-0.806665,-0.454828,-0.495663,-0.467862,-0.172058,0.277465,-0.457562,0.186955,-0.296543,0.734746,2.02211,-0.408174,0.0276581,1.91021,-0.792912,0.649359,-0.456578,-0.281095,-0.202684,-0.407773,-0.739037,-1.47507,0.336458,-0.811633,-0.668864,0.790681,-0.180972,0.860246,0.611391,0.0917715,0.666363,0.756416,0.361041,0.888258,0.636282,1.17282,1.80173,-1.18085,1.17336,0.269304,0.0166291,-0.221218,-2.60789,-0.741541,0.00466724,0.320535,1.61981,-1.38197,-1.42531,0.166278,-0.273475,-1.44454,0.0750623,-0.604933,0.778599,-0.694652,0.295532,0.917542,-0.280316,-0.154567,1.01457,0.240084,1.04334,-0.756942,20,-39.5189,-30.7107,-43.5421,-36.8002,-34.3129,-38.7622,-38.732,-35.9185,-35.398,-35.4764,-37.3981,-36.5804,-40.8931,-36.9445,-44.4735,-38.9138,-37.9155,-42.0426,-44.4228,-40.2389,-36.9781,-35.1937
-872.65,0.757196,0.114704,6,63,0,917.419,0.625577,-0.956129,-0.155045,-0.533936,1.12132,-0.913269,0.485122,0.00878182,1.01332,-0.434166,0.0727067,-0.257475,-0.223194,-0.296169,0.46755,0.328311,-0.00613876,-0.23858,0.857925,-0.235626,0.0337423,-0.906127,0.431964,0.509852,0.630836,-1.5962,0.156694,-0.630084,-0.297424,-0.176466,-0.383545,0.190111,6.61232,0.393072,-0.603649,-0.192236,1.0691,-0.543795,1.03908,-1.19162,-1.04985,-0.181605,-0.641463,-0.850828,-0.966013,0.104436,-0.704646,-1.24989,-0.502186,0.0164919,-2.37008,-0.514547,-0.785403,-0.0679433,2.4203,0.907781,1.92269,1.39824,1.86669,-0.121384,0.856183,-0.319903,1.01103,0.821581,-0.104525,-0.139139,-0.286846,-0.748138,-0.22896,-1.15298,-0.592292,1.21072,-0.423549,-0.412817,-0.261923,1.05986,20,-38.474,-36.5226,-45.0343,-36.7532,-33.5027,-34.7993,-35.0238,-33.6486,-38.0812,-36.5952,-36.3143,-39.2182,-36.6975,-37.0093,-45.5799,-37.949,-44.3488,-42.7648,-39.2904,-37.4067,-38.5022,-37.1957
-872.382,0.995485,0.114704,6,63,0,905.234,3.44495,0.242979,1.56318,-0.290193,-0.139627,0.138902,-0.469179,-0.722651,-0.576857,0.606216,0.12847,-0.608456,-0.0731565,-0.502734,-0.748142,-0.259459,0.441009,-0.319144,-0.234293,-0.232227,-0.182648,1.61257,2.64277,-0.126558,1.35105,2.38316,-0.562711,0.587454,-0.195558,-0.665539,-0.218631,-0.206624,-0.607818,-1.06383,0.33657,-0.529356,-1.33842,0.523467,-0.254636,1.55242,0.578001,0.509949,0.395382,0.770729,0.325995,1.00035,0.595672,0.89896,1.20269,-0.974674,-0.345241,0.698306,1.14043,0.0361442,-2.52327,-1.93198,-0.525519,-0.0513105,0.227702,-0.755726,-1.4656,0.508523,-0.0681974,-0.777985,-0.0556024,-0.381992,0.490944,-1.11377,0.0304539,1.02358,-0.179537,-0.319869,-0.559853,-0.120271,-0.221702,-0.417626,20,-38.7095,-36.212,-42.8897,-35.8453,-34.7738,-39.2504,-38.6845,-37.3299,-32.7973,-33.7259,-35.4121,-36.1872,-39.4037,-33.5087,-40.2307,-43.1321,-40.1879,-41.5845,-47.13,-40.8066,-38.3728,-36.0519
-859.264,0.997656,0.114704,6,63,0,900.881,0.683788,-0.462853,-0.210804,1.26597,0.490699,-0.556397,-0.0566306,0.0510547,0.697022,-0.241354,-0.467995,-0.252724,-0.268666,-0.580144,0.560104,0.337302,-0.0776209,-0.314799,0.455309,-0.240108,-0.551288,-0.997863,0.249436,0.913796,-0.487494,-0.443427,-0.131739,-0.283755,0.0606949,0.457032,0.116089,0.0715752,6.20151,0.557053,-0.327143,-0.750464,0.162793,-0.0663626,1.23503,0.0241707,-0.981222,-0.0542199,-0.617114,-0.891708,-0.975501,-0.429173,-1.39091,-1.15852,0.612559,0.515494,0.245281,-0.40401,-0.119925,-0.273396,3.4188,2.20771,0.870813,0.493749,1.96934,-0.0972939,0.939724,-0.246727,0.565217,0.493521,-0.265296,-0.218841,-0.0104671,-0.26146,-0.769801,-0.384871,0.279792,1.49927,1.23505,0.067828,-0.395574,0.0654309,20,-39.6831,-35.9113,-41.8778,-34.8175,-32.7549,-39.6231,-37.3854,-33.7606,-34.6678,-36.8635,-35.4412,-36.2878,-39.2054,-36.809,-44.4368,-40.6899,-39.0223,-41.391,-40.976,-39.9453,-35.0872,-35.9084
-866.903,0.808146,0.114704,6,63,0,900.062,2.64462,-0.533017,0.629408,-0.428948,0.674913,0.570087,-0.105226,-0.545499,-0.144761,0.233247,-0.359163,1.41829,-0.153381,-0.893559,1.34242,-0.618839,0.534126,0.563742,-0.815184,0.43731,0.559847,-0.574005,1.00397,0.282807,1.59458,0.851889,0.119689,0.0971736,0.2184,-0.499306,-0.893176,0.254092,3.42653,0.944617,-0.185787,-0.00509896,-0.118445,-0.437415,0.716993,1.13256,-0.0535085,-0.396017,1.07482,-1.51396,1.50451,1.38927,-0.265061,0.400805,0.988203,-0.302089,-0.363996,-0.271624,0.663227,0.618984,-0.0441698,1.17597,0.0249833,0.228509,0.411046,-1.59805,-0.741371,-0.643553,0.323542,-0.682411,0.0216277,-2.52169,0.429057,0.483178,-0.925442,-0.0765811,-0.760633,-0.943942,-0.393618,-0.971428,0.308358,1.77976,20,-39.9996,-35.119,-41.1947,-34.2647,-34.3858,-40.3173,-39.7336,-34.7149,-35.9556,-35.4645,-34.1821,-38.7,-38.9577,-36.3325,-39.4445,-40.7369,-42.3513,-40.0545,-41.1016,-37.7993,-37.2798,-38.5325
