# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model2_model
# start_datetime = 2023-11-30 10:45:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmpowa51cil/jkzzpkla.json
# init = 2 (Default)
# random
#   seed = 51491
# output
#   file = /home/john/python_test/project/year2023_model2_sample/model2-20231130024544_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=model2.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,t_r.1,t_r.2,t_r.3,t_r.4,t_r.5,t_r.6,t_r.7,t_r.8,t_r.9,t_r.10,t_r.11,t_r.12,t_r.13,t_r.14,t_r.15,t_r.16,t_r.17,t_r.18,t_r.19,t_r.20,t_r.21,t_r.22,t_s.1,t_s.2,t_s.3,t_s.4,t_s.5,t_s.6,t_s.7,t_s.8,t_s.9,t_s.10,t_s.11,t_s.12,t_s.13,t_s.14,t_s.15,t_s.16,t_s.17,t_s.18,t_s.19,t_s.20,t_s.21,t_s.22,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.106879
# Diagonal elements of inverse mass matrix:
# 2.60017, 0.865547, 0.669743, 0.801345, 0.688695, 0.706333, 0.768811, 0.546059, 0.534459, 0.674908, 0.695995, 0.889518, 0.61709, 0.789215, 0.531314, 0.562722, 0.484519, 0.587496, 0.677455, 0.682486, 0.716947, 0.747165, 1.09663, 0.541722, 0.597794, 0.568461, 0.650408, 0.548652, 0.687741, 0.433417, 0.706521, 0.578465, 14.2117, 0.569013, 0.581504, 0.63247, 0.565678, 0.563356, 0.626719, 0.469153, 0.422723, 0.528536, 0.571813, 0.614625, 0.469371, 0.605168, 0.518354, 0.605856, 0.616861, 0.484889, 0.53571, 0.538375, 0.635993, 0.62522, 1.66024, 0.539575, 0.630991, 0.647343, 0.624288, 0.610783, 0.606868, 0.517484, 0.4596, 0.622381, 0.582236, 0.714579, 0.514695, 0.616287, 0.528976, 0.599452, 0.714221, 0.469902, 0.502968, 0.511659, 0.815822, 1.04443
-863.923,0.98787,0.106879,6,63,0,910.748,1.66815,-0.717036,0.856811,0.804524,0.440558,-1.31517,-0.815628,-0.348845,-0.376295,-0.222942,-2.04091,-0.896432,-1.34418,0.3199,-0.282287,-1.40691,0.386623,-0.377585,0.557653,0.341291,0.197306,0.302999,1.54848,-0.479575,-0.142809,0.407206,0.280129,0.699672,-0.691789,-0.611931,-0.228945,-0.452876,8.20642,-0.398375,0.161624,-0.66321,-0.705756,1.76915,1.12051,-0.544495,-1.2869,0.264765,1.83096,-0.0473217,0.687779,-1.43962,-0.0247426,0.364001,0.242538,-1.15896,-0.574006,-0.373124,0.0782443,-0.446767,0.033931,-0.144065,0.515769,-0.0311014,1.4739,-0.0835412,0.471711,-1.17159,0.00906061,-0.149035,1.96359,-0.320314,0.632366,-1.09864,-0.488879,0.485339,-0.559283,-1.26231,-0.273604,-0.68333,-0.907886,-0.0710628,20,-38.9803,-33.2072,-42.1258,-37.0641,-33.9604,-36.1699,-35.5862,-36.4202,-35.6015,-35.0987,-33.6997,-37.6537,-38.4421,-35.7992,-40.8912,-40.4698,-40.2254,-41.4906,-43.0795,-39.4683,-39.3874,-36.2502
-855.985,0.773191,0.106879,6,63,0,898.364,0.294956,-1.87599,0.618621,0.728743,0.522197,-0.272024,-0.653949,-0.0549628,0.302931,0.640672,0.533074,-0.608324,0.947511,-0.737705,0.378966,0.562082,0.575129,0.203708,-0.0814338,-0.248952,0.729155,-0.668603,4.39169,0.0104174,0.0592421,0.816348,-0.178521,-0.118237,0.0557639,-0.590826,-0.927712,0.22292,2.67443,-1.34752,0.478608,0.137096,-0.580134,1.14611,0.517838,0.0889052,0.139106,-0.478956,-0.206172,-0.0478798,-0.683004,1.2386,0.789455,-0.453989,0.346187,-0.0386237,-0.232672,0.189761,0.285222,1.33987,-0.75137,-1.57808,0.263315,0.705831,0.780605,-0.898009,-0.0160528,0.0384025,1.17653,-0.834572,0.00672318,-0.35392,-0.0823604,0.111527,0.160117,-0.253425,-0.59258,0.545724,0.0356796,-0.289363,0.634809,2.33368,20,-37.9697,-35.3798,-40.5212,-38.6564,-34.4297,-35.8481,-36.2828,-36.0936,-35.6141,-36.5477,-36.2007,-39.2588,-34.6168,-36.7373,-40.2349,-40.9757,-41.9127,-38.9271,-43.4006,-35.1659,-39.1828,-36.9112
-873.371,0.62166,0.106879,6,63,0,906.199,-0.80238,-2.05201,0.421922,-0.571787,0.109947,-0.746718,-1.44775,-0.508072,0.975484,0.317185,-0.253898,0.391541,0.343183,0.0491223,0.61415,-0.332908,0.0917782,0.665109,-0.240624,-0.5065,1.77035,-0.47663,5.23468,0.469602,1.30421,1.23493,0.392575,-0.204813,-0.0463705,-0.619476,-0.610707,0.361492,2.41727,-2.39896,0.054268,-0.926082,-0.275526,-0.279893,1.35718,0.589792,0.139777,-0.0760917,0.65477,-0.559798,-0.740605,0.0384333,-0.72842,0.0113233,0.538482,-0.20615,-1.10018,0.17761,-1.41727,1.3741,0.212074,-1.16066,1.0813,0.919556,0.514336,0.413702,0.396589,-0.131664,0.362056,-0.329875,0.709391,-0.897083,-0.0366685,-0.487878,-0.0875621,-0.855956,-1.00171,0.582163,-0.112984,0.74598,-0.985016,0.211925,20,-39.5318,-35.6336,-41.8322,-34.3149,-33.4791,-40.351,-39.0676,-32.9076,-34.7703,-38.2513,-40.3506,-35.994,-38.5527,-36.8948,-47.6454,-40.1954,-40.1215,-42.0697,-41.7584,-39.0338,-33.6055,-36.8466
-880.371,0.99754,0.106879,6,63,0,922.183,-0.0634858,-3.5694,0.104397,-1.33036,0.823083,-0.524103,-1.00198,-1.53038,0.236099,-0.441298,-0.599393,1.02173,-1.22623,-1.41137,-0.798387,-1.32264,0.914001,-0.445487,-1.43249,0.0666115,-0.0251322,0.14177,5.92503,-0.394118,1.9276,1.36733,-0.123822,0.366545,0.405736,0.78871,0.246237,-0.440316,1.19921,-1.0192,0.786152,-0.911234,-1.12287,1.55625,0.0536056,1.04215,-1.00003,-0.19083,-0.9386,-2.53597,-0.271438,-0.509716,-0.27182,1.22837,0.419214,-0.601154,-1.07135,0.169762,-1.18022,-1.29051,-0.612789,-0.367959,2.00177,1.04571,0.110644,0.0994938,0.0849403,1.5659,0.47952,0.642078,-0.512758,-1.4794,0.41725,0.245809,0.609852,1.98427,-0.264799,1.01571,0.111315,0.467546,-2.10064,0.664406,20,-39.1358,-35.4409,-40.178,-38.1478,-34.7695,-36.9576,-36.6182,-34.9781,-33.7057,-34.8943,-34.1525,-35.9552,-36.2721,-36.0437,-43.6422,-44.7203,-43.0747,-42.4249,-47.3397,-36.5736,-37.2753,-34.8507
-877.267,0.996549,0.106879,6,63,0,912.612,2.39364,-2.2398,0.993996,-0.253565,1.16011,0.156094,0.400999,1.34437,0.286053,0.610658,-0.0512248,-1.7038,0.278421,0.176567,0.55364,1.95163,-0.320181,0.76767,0.72856,-0.364284,-0.276892,0.461132,2.78657,1.68019,1.53711,-0.369206,-0.563589,-0.0371141,-0.736098,-0.60384,-0.0633899,1.21819,3.98931,1.16489,-0.126202,-0.221235,0.634909,-0.448521,1.57614,-0.597655,0.277027,1.08683,0.744447,2.08173,-0.126798,-0.101929,0.146227,-1.22483,1.03613,-0.657664,-1.66474,-0.189729,1.62147,1.02802,-0.416004,-0.0303027,-0.490455,0.280204,1.16241,-2.55296,0.101556,-1.02418,0.692241,-0.259921,0.463545,1.39085,-0.870718,-0.43206,-0.425032,-1.55376,-0.570803,-0.294918,-1.6963,-1.03225,0.37557,0.296515,20,-39.3136,-35.2287,-40.0301,-37.0599,-33.5616,-33.2731,-37.9053,-33.3324,-34.6517,-34.5446,-34.5344,-37.6465,-35.5455,-36.083,-46.8952,-41.284,-41.0844,-43.379,-47.6341,-37.0972,-39.8488,-35.8049
-868.591,0.98795,0.106879,6,63,0,916.44,0.743773,-1.3747,1.01711,0.785442,1.19777,0.216419,0.158161,-1.11036,-0.702424,-0.745256,-0.528409,0.39125,-1.26973,-0.941603,-1.78908,0.315785,-0.540874,-0.153592,0.672153,-0.425053,-0.136405,0.13883,2.11,-0.950291,-1.27468,0.460332,-0.89888,-0.845851,-1.16635,0.0716017,0.452551,-0.767982,2.76132,-0.62267,-0.344121,-0.281999,-1.67027,0.469896,-0.277233,0.45023,0.692399,1.08744,-0.925126,-0.706748,-1.34465,-0.240554,-0.253249,-0.705905,1.09019,-0.163156,-0.520157,-0.014845,-0.816071,-1.41423,0.0253814,0.525628,0.00507768,0.0287216,-0.999183,0.290097,-1.4701,0.426397,0.824097,0.783447,-0.61728,-1.15495,-0.218481,-1.57742,-1.00223,-0.941783,-0.0505685,0.506664,0.604633,0.755153,-0.588236,0.156072,20,-37.4713,-38.7437,-42.6029,-32.2801,-34.9415,-46.2292,-35.2841,-34.4447,-33.7687,-35.9839,-36.0031,-36.272,-39.0706,-36.0864,-45.2212,-41.6425,-41.6258,-40.788,-43.5899,-38.4526,-33.1904,-34.1597
-867.291,0.999267,0.106879,6,63,0,897.863,4.14638,1.08494,-0.134614,0.0933331,0.109689,-0.476091,0.371263,0.893823,0.462745,1.12334,0.037096,-1.19668,0.719584,-0.940218,1.22124,-0.104149,1.15924,0.0624235,-0.231814,0.518186,-0.138843,0.0310252,0.561333,1.16061,1.57671,0.162448,-0.0721585,0.925132,0.453707,-0.238733,-1.34955,0.355525,0.877989,0.121913,-0.0724411,-0.849556,0.790952,0.503179,1.0728,-0.364522,-1.14592,-0.70701,0.3392,1.3496,0.807505,1.05887,-0.0563509,0.945627,0.1631,-0.544136,-0.141598,-0.158881,1.02176,0.888487,-0.419572,-0.446255,1.23646,0.889839,2.92556,-1.99961,0.208741,-0.512475,-0.30374,-1.22757,0.48131,-0.19038,0.462084,-0.285249,0.514228,0.735937,-1.71521,-0.016982,0.0161953,-0.701962,0.671282,0.932836,20,-40.9525,-34.1667,-45.5812,-37.6901,-33.6776,-34.6653,-38.9658,-34.4112,-33.1334,-35.2076,-34.8374,-37.0615,-40.8051,-35.0194,-42.1011,-41.4558,-38.9387,-40.3192,-42.8072,-40.6004,-38.2956,-35.8688
-875.893,0.796259,0.106879,6,63,0,909.599,-0.0661167,-0.745078,1.64554,0.590771,0.984996,-0.197945,-0.994287,-1.17114,-0.788998,-1.04675,-0.131396,0.755026,-1.18808,-0.31126,-1.02581,0.282654,-1.03356,-0.0536477,-0.27375,-0.724824,0.732502,0.0126663,0.671666,-1.52802,-1.01952,0.805165,-0.340262,-1.20029,-1.14421,-0.325891,0.710583,-0.700305,6.73488,-0.561114,-0.531874,0.0599329,-1.72007,1.11172,-0.281382,0.38327,0.890912,1.26242,-0.455113,-1.32095,-1.33603,-0.395354,-0.957358,-0.644778,1.33132,-0.0571676,-0.11683,0.0654926,-0.795453,-0.516641,0.751179,0.774477,-0.20187,0.735964,-0.69631,-0.630408,-1.15537,-0.0359512,2.02732,0.472501,-0.654061,-0.92329,-0.337622,-1.65633,-0.450025,-0.848401,0.489226,0.734679,-0.164715,0.861996,-0.358561,-0.617689,20,-36.8359,-33.9963,-38.4079,-38.6502,-38.4064,-41.508,-35.7697,-38.1353,-36.5812,-36.4971,-36.5279,-38.7482,-36.832,-37.4246,-38.3941,-39.0348,-43.5438,-41.0365,-39.4796,-37.2951,-40.1851,-37.9585
