# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model3_model
# start_datetime = 2023-11-30 10:45:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpowa51cil/jfs025q7.json
# init = 2 (Default)
# random
#   seed = 71447
# output
#   file = /home/john/python_test/project/year2023_model3_sample/model3-20231130024557_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=model3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.4247
# Diagonal elements of inverse mass matrix:
# 0.271971, 0.119723, 0.111634, 0.105034, 0.108072, 0.100932, 0.104277, 0.10793, 0.123713, 0.0963413, 0.108667, 0.111614, 0.100527, 0.161076, 0.114591, 0.108835, 0.104433, 0.101394, 0.0990159, 0.113299, 0.19467, 0.219172
-856.176,1,0.4247,3,7,0,869.241,4.0205,0.234975,0.595391,0.196904,0.484831,-0.3296,0.200839,-0.609596,-0.385958,-0.229303,-0.831944,-1.29926,-1.29248,-0.643689,-0.28535,-0.460174,0.323224,-0.421107,-0.208011,-0.520081,-0.786958,-0.596536,20,-38.8015,-40.1728,-39.1154,-37.9234,-36.5125,-37.0789,-35.9028,-36.9422,-36.021,-36.2361,-36.2959,-38.2461,-36.4091,-36.1062,-45.7539,-38.7948,-41.9813,-42.2926,-41.4694,-38.5052,-40.337,-37.0431
-853.208,0.865432,0.4247,3,7,0,867.553,4.55793,1.0144,0.936927,0.25083,1.07984,-0.338653,0.20373,-0.517588,0.0132829,-0.316751,-0.808576,-0.798775,-0.583088,-0.844292,-0.920633,-0.529037,0.0713428,-0.30056,0.0310683,-0.0149024,0.374881,-0.56594,20,-38.1408,-38.0166,-38.6657,-35.7316,-35.5239,-38.0055,-35.1753,-35.8331,-33.9905,-36.3523,-36.8389,-38.2481,-36.1638,-35.2487,-45.944,-41.0738,-43.7146,-44.9594,-44.341,-38.3138,-37.1887,-37.0022
-852.978,0.852497,0.4247,3,7,0,862.147,4.21863,0.313053,0.721496,0.663594,0.726279,-0.20431,0.490042,-0.459766,-0.0411364,-0.242912,0.042069,-0.878295,-0.827593,-0.581838,-0.230078,-0.200941,0.369377,-0.251358,-0.0201336,-0.340575,-0.589527,0.551224,20,-37.9137,-38.7186,-39.0408,-37.1279,-35.7666,-36.6939,-35.3247,-37.4201,-36.6538,-36.9054,-37.0848,-38.7275,-37.2053,-37.4812,-45.2753,-37.5611,-43.6741,-41.571,-40.3771,-37.8967,-39.7826,-37.7991
-855.657,0.91235,0.4247,3,7,0,863.273,4.33365,0.292598,0.4869,0.288834,0.768935,-0.556743,-0.196975,-0.562224,-0.00343841,-0.270147,-0.850118,-0.957553,-0.47265,-0.683288,-0.764497,-0.394176,0.17091,-0.132003,0.0536289,-0.278885,0.155335,0.727304,20,-39.3102,-38.7253,-39.3204,-37.6221,-36.2295,-36.3303,-36.1655,-35.5429,-35.1855,-37.9846,-38.0872,-38.7152,-37.0869,-36.4917,-43.7184,-38.0867,-44.0308,-43.7075,-40.2733,-39.0284,-38.3115,-38.3647
-856.795,0.894596,0.4247,3,15,0,870.579,3.66787,0.761785,0.648946,0.1689,0.846613,-0.946093,0.311437,-1.0671,-0.364104,-0.847605,-0.683588,-1.33487,-1.35266,-1.75799,-0.791655,-0.821282,-0.328743,-0.871754,-0.297957,-0.457595,-0.618109,-0.349643,20,-38.0444,-36.1606,-39.9613,-34.3479,-34.6681,-37.8211,-34.008,-37.7003,-35.5194,-35.6429,-36.1662,-38.3871,-37.1399,-35.5303,-44.3138,-40.8187,-45.585,-45.2662,-45.0933,-38.4761,-37.8239,-36.697
-854.607,0.935248,0.4247,3,7,0,865.775,3.93893,0.0206436,0.383969,0.169423,0.289444,-0.289988,-0.203496,-0.592249,-0.212475,-0.130759,-0.791338,-0.902352,-0.681527,-0.495997,-0.798911,-0.629005,0.168931,-0.416059,-0.191252,-0.462596,-0.0514148,-0.182743,20,-38.5778,-40.5003,-39.3548,-37.9325,-37.1303,-37.4911,-37.0776,-36.4822,-35.4419,-37.4147,-37.4656,-38.7196,-36.4899,-36.3545,-44.5707,-38.3483,-41.5804,-41.4701,-40.0863,-38.6071,-39.0571,-38.0429
-855.221,0.913761,0.4247,3,7,0,864.102,4.21786,1.0287,0.930684,0.42756,1.20594,-0.487268,0.703197,-0.592233,-0.021018,-0.459602,-0.359753,-1.18872,-0.950261,-1.50114,-0.305867,-0.508453,0.0541814,-0.29738,-0.0448761,-0.40642,-0.371525,-0.319719,20,-37.4108,-36.69,-39.8489,-34.8456,-33.7169,-37.8356,-33.8339,-37.6632,-35.8597,-36.4984,-36.5559,-37.3001,-36.7565,-36.1641,-45.7458,-40.8312,-45.2262,-44.9225,-44.5607,-38.247,-38.0988,-36.8465
