# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model3_model
# start_datetime = 2023-11-30 10:45:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmpowa51cil/jfs025q7.json
# init = 2 (Default)
# random
#   seed = 71447
# output
#   file = /home/john/python_test/project/year2023_model3_sample/model3-20231130024557_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=model3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.387983
# Diagonal elements of inverse mass matrix:
# 0.26312, 0.105941, 0.108824, 0.111599, 0.106651, 0.0915109, 0.0918704, 0.0938113, 0.0899449, 0.094431, 0.0935973, 0.102075, 0.0900929, 0.146977, 0.0925095, 0.102173, 0.109678, 0.0983314, 0.0955897, 0.0933992, 0.150725, 0.185131
-858.572,0.972263,0.387983,3,7,0,871.717,5.12744,1.21013,1.1719,1.02067,1.12267,-0.0926845,0.476177,0.152659,0.697835,0.0843855,-0.444174,-0.940218,-0.719371,-0.404447,-0.142108,-0.588416,0.53876,-0.0745135,0.0885817,-0.018124,0.3904,0.675398,20,-36.938,-39.1566,-38.6873,-37.1745,-34.7102,-37.3447,-35.5952,-35.3123,-35.0229,-37.3519,-38.182,-39.6603,-34.3286,-35.3687,-46.3805,-41.2791,-45.1609,-42.6052,-43.892,-37.0737,-38.88,-38.7147
-857.762,0.935844,0.387983,3,7,0,869.931,4.13916,0.744537,1.19257,0.63505,0.977603,-0.191538,0.697446,-0.721701,0.246254,-0.00607177,0.101157,-0.501415,-0.00581396,-0.543196,-0.787696,-0.525299,0.207346,0.249043,0.316256,0.152683,0.0440572,0.721964,20,-38.8004,-37.0124,-40.6147,-35.0908,-35.2911,-36.9977,-35.3787,-37.5064,-35.8047,-38.6006,-38.381,-38.4538,-37.6651,-38.132,-44.7734,-37.806,-43.3934,-43.926,-42.6399,-38.9372,-37.0895,-37.6743
-860.436,0.966743,0.387983,3,15,0,868.215,3.77072,0.94923,0.672979,0.386647,0.946907,-0.124378,0.106022,-0.0753261,-0.309487,-0.214527,-0.644967,-1.20453,-1.28163,-1.08745,-0.125104,-0.132278,0.374317,-0.646249,0.00856565,-0.289971,0.215589,-0.627473,20,-38.5206,-40.1473,-38.1564,-36.9368,-36.2658,-39.2472,-36.2972,-35.6984,-36.081,-34.9497,-35.2359,-38.7922,-36.4281,-35.3066,-44.2286,-42.3068,-43.863,-43.4779,-43.6307,-38.6382,-40.3121,-37.5856
-856.626,0.970285,0.387983,3,7,0,872.466,3.89764,0.142319,1.07458,0.239849,0.666857,-0.395852,0.657925,-0.605876,0.0484139,-0.216674,-0.35594,-0.747438,-0.81105,-0.570636,-1.06135,-0.746286,0.0539923,-0.504755,0.265167,-0.526729,-0.574659,0.135093,20,-38.0718,-38.0067,-41.9125,-36.1208,-35.2671,-35.6806,-35.9281,-38.5088,-34.366,-36.8051,-37.8066,-36.9553,-38.9242,-36.3635,-45.7185,-37.7151,-42.5557,-44.5604,-42.2577,-40.2232,-38.1873,-36.8584
-855.527,0.96415,0.387983,3,7,0,864.616,4.24194,1.218,0.545416,0.649934,1.01157,-0.135575,0.0180408,-0.363684,-0.0846403,-0.150397,-0.494638,-0.926057,-0.555618,-1.15676,-0.0296277,-0.152265,0.38088,-0.0122919,-0.2457,0.15615,0.00263161,0.0869772,20,-38.869,-39.091,-37.0024,-36.2363,-36.4632,-39.7394,-35.5319,-35.3181,-36.7393,-37.0097,-36.3101,-39.6865,-34.7174,-36.242,-43.6897,-41.4687,-44.1477,-42.0874,-43.8631,-36.829,-38.7473,-38.1199
-857.075,0.981979,0.387983,3,15,0,866.053,3.93429,0.0302656,0.997286,0.0219564,0.656825,-0.478308,0.570676,-0.717344,-0.00423183,-0.311019,-0.475053,-0.83272,-0.920704,-0.486186,-1.08848,-0.668746,-0.0273241,-0.668095,0.201077,-0.614394,-0.120299,-0.387777,20,-38.1531,-38.0798,-41.7462,-36.9128,-35.5462,-35.5354,-35.8262,-38.6428,-34.4865,-36.6616,-37.8084,-36.7917,-39.0232,-36.3112,-46.2084,-37.6409,-42.0727,-44.8413,-41.7994,-40.2946,-38.3292,-36.349
