# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-11-30 10:37:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmptpa5mti2/qp33vulf.json
# init = 2 (Default)
# random
#   seed = 92187
# output
#   file = /home/john/python_test/project/year2023_model_sample/model-20231130023712_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.129814
# Diagonal elements of inverse mass matrix:
# 1.30574, 0.993261, 0.368135, 0.366187, 0.310107, 0.376664, 0.36075, 0.353793, 0.442309, 0.465439, 0.247606, 0.460329, 0.386647, 0.338328, 0.392029, 0.378852, 0.373475, 0.42052, 0.387613, 0.367177, 0.307325, 0.318279, 1.11098, 0.436892, 0.366732, 0.359499, 0.484232, 0.497169, 0.445578, 0.310427, 0.382715, 0.435521
-857.289,0.997604,0.129814,5,63,0,871.453,3.45975,-0.114148,0.729112,0.339098,-0.0483581,-0.288307,-0.675435,0.892698,-0.679538,0.181283,0.3953,-0.476996,-0.757322,-0.671207,-0.287479,0.378493,0.00218931,-0.605919,-0.200623,-0.0692105,1.09324,0.794011,0.776574,-0.313254,0.0122392,1.05199,-1.45714,0.220843,-0.851203,-1.08146,-0.363669,-0.0693623,20,-39.1703,-38.2433,-39.83,-34.5772,-35.4248,-37.5748,-34.8342,-36.9288,-36.0025,-35.9885,-35.4684,-39.4208,-36.5552,-35.6032,-45.5936,-39.8742,-45.2263,-44.8747,-42.0657,-38.4924,-38.0171,-37.099
-854.891,0.94182,0.129814,5,63,0,870.726,2.83579,-0.184496,0.0990218,-0.230918,0.733525,-0.876095,0.193492,-0.806647,0.339233,0.91009,-0.479513,-0.497407,-0.27283,-0.798503,-0.270945,-0.520345,0.000853878,-0.161997,-0.756212,-0.00582604,-0.412683,-0.138548,0.440055,0.37342,0.504588,0.126278,-0.193015,-0.313314,-1.11771,-0.291401,-0.649125,-0.00931569,20,-39.8017,-38.8427,-40.4479,-35.6375,-36.1943,-36.6785,-34.4171,-36.8643,-35.6252,-37.1601,-37.6492,-39.874,-36.0465,-36.4435,-42.6866,-37.8704,-44.3042,-44.4923,-41.1778,-39.5313,-38.0958,-37.6682
-866.163,0.803508,0.129814,5,63,0,879.917,2.38655,-0.371928,-0.743618,0.615582,0.23378,-1.9182,0.489946,-0.495991,1.00722,-0.037699,-0.112102,-1.33103,-0.0214577,-0.885945,-0.184875,0.0153369,1.03536,0.647448,0.551028,0.853199,0.205901,0.413857,1.74696,2.20791,0.159973,0.528946,0.341933,-0.636151,0.85528,0.553149,-0.0375457,-0.783002,20,-37.5021,-38.7244,-41.7255,-35.8858,-34.5965,-38.9933,-35.328,-37.4062,-35.5624,-37.0743,-37.2991,-37.857,-38.2468,-36.9977,-44.8066,-41.1056,-41.876,-42.2291,-44.3559,-40.7289,-37.3857,-37.2237
-863.563,0.997623,0.129814,6,63,0,878.659,2.94002,-0.0952987,1.68656,0.206815,0.344743,0.225111,-0.686052,0.926794,-0.394737,1.16496,-0.825714,-0.0938517,-0.714126,-0.648326,-0.167515,0.687364,-1.1419,-0.988629,-0.655237,-2.03378,0.159717,-0.103248,0.572752,-0.87876,0.316124,0.413127,-1.67505,0.232238,-1.43248,-0.398869,-0.644708,1.04248,20,-36.689,-38.7665,-39.6517,-35.9984,-34.4469,-37.4427,-35.3679,-34.5832,-34.3611,-36.8781,-37.6084,-39.7515,-34.7598,-34.9312,-43.8643,-40.9078,-46.7819,-45.0909,-44.3337,-38.3821,-38.8811,-39.4158
-856.326,0.951823,0.129814,5,31,0,873.907,3.34647,-0.645691,1.74872,-0.300186,0.513288,0.445169,-0.0932104,0.84007,-0.569179,0.783293,-0.429715,0.0897746,-0.470204,-0.272089,-0.298747,0.57516,-1.12323,-0.644054,-0.86779,-1.4706,-0.00500678,-0.228779,1.13322,-1.12297,0.415545,0.311846,-1.4209,0.180131,-1.26659,-0.245243,-0.38478,1.14305,20,-37.6519,-38.223,-38.2167,-37.5448,-35.792,-36.5044,-35.281,-36.9078,-35.9422,-36.223,-36.0503,-38.0725,-35.7647,-35.9682,-46.5693,-39.3646,-43.4615,-43.5457,-42.3311,-37.5359,-38.5952,-37.1748
-855.06,0.963445,0.129814,6,63,0,868.199,1.9454,-0.653415,1.65777,-0.393052,-0.313242,0.516138,-0.545681,0.153961,-0.90034,0.867024,-0.338885,0.288606,-0.153919,-0.476097,0.00585172,0.557415,-0.439323,-1.45461,-0.60372,-1.01608,-0.066799,0.524256,1.21264,-1.1949,0.218349,0.589398,-1.14859,0.382403,-1.46556,-0.607177,-0.971486,0.352717,20,-37.947,-38.2316,-39.3268,-36.0773,-36.1324,-38.5407,-35.8115,-37.7377,-34.6329,-35.4297,-36.0535,-37.4077,-37.4697,-35.1241,-42.944,-40.7752,-42.4479,-42.3967,-44.4681,-38.5694,-38.9171,-36.6839
