# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-11-30 10:37:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmptpa5mti2/qp33vulf.json
# init = 2 (Default)
# random
#   seed = 92187
# output
#   file = /home/john/python_test/project/year2023_model_sample/model-20231130023712_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.162599
# Diagonal elements of inverse mass matrix:
# 1.17894, 0.92027, 0.499036, 0.368614, 0.438994, 0.498115, 0.422733, 0.377045, 0.298929, 0.413662, 0.254022, 0.409388, 0.416914, 0.317742, 0.399401, 0.376794, 0.364914, 0.306961, 0.381165, 0.368532, 0.297067, 0.326439, 0.921131, 0.448157, 0.486066, 0.461545, 0.385876, 0.414602, 0.451973, 0.361802, 0.424062, 0.350367
-861.043,0.959314,0.162599,5,31,0,879.465,1.5659,-1.55052,2.21914,0.0555224,0.0735735,1.1269,-0.297437,-0.27177,-0.586112,-0.24521,0.7362,-0.923812,-0.706111,0.194565,-0.872301,-0.0199376,0.434925,-0.0158809,-0.239692,-0.321417,0.90816,0.0308811,2.26392,-1.17752,0.255507,0.393981,-0.174592,-0.0913525,0.055861,-0.969236,0.184032,-0.22013,20,-37.7463,-39.1016,-38.741,-36.2372,-35.3556,-38.7459,-36.001,-36.0409,-35.3812,-37.4468,-36.3006,-37.129,-37.1771,-37.84,-46.6565,-40.8975,-41.4416,-42.7497,-44.2287,-38.2053,-38.7151,-37.6593
-858.808,0.571382,0.162599,5,31,0,883.289,2.29194,-0.725144,0.200564,0.309441,0.445066,-1.01351,-0.0566969,-0.240474,0.527382,0.537869,-0.351274,-0.118468,0.586579,-0.499295,0.430043,0.0672478,0.933539,-0.409959,0.395281,-0.156441,-0.043003,-0.483484,1.81508,1.16788,0.224827,1.17829,-0.0644462,0.00134784,-0.589934,0.249456,-0.737471,0.039198,20,-38.5263,-38.2925,-40.5332,-35.7787,-35.5037,-37.4325,-35.4808,-38.6035,-34.4678,-35.7042,-36.5869,-36.1065,-38.2442,-35.8632,-44.2857,-39.2504,-44.1696,-45.5523,-43.2167,-39.5746,-40.2732,-36.7052
-853.992,0.954439,0.162599,5,31,0,867.444,2.88892,-0.185863,0.722761,0.309746,0.801489,-0.0433183,0.167873,0.197106,-0.3144,-0.386717,0.315456,-0.935212,-0.953708,-0.28928,-0.978599,-0.0263147,0.566867,-1.02611,0.409776,0.101771,0.44878,1.11451,1.41832,0.508186,0.345093,0.562963,0.0143909,0.747342,0.64787,-0.255406,0.752674,-0.090115,20,-37.3942,-39.1406,-39.8992,-35.3049,-35.0384,-38.9089,-35.97,-36.3272,-34.6388,-35.7449,-36.2861,-36.5675,-37.9194,-35.5534,-44.3243,-40.8262,-43.3534,-43.774,-43.2689,-39.3973,-37.5822,-37.1815
-856.976,0.89109,0.162599,5,31,0,869.309,2.54234,-0.422324,0.831223,-0.171932,0.160674,-0.680508,-0.365499,0.0166581,0.781405,1.43585,-0.480704,0.942125,0.714029,-0.872733,0.70094,-0.455504,-0.202174,0.10684,-0.332857,-0.729542,-0.281181,0.274812,0.758731,-0.437252,-0.0737755,0.233119,-0.928542,-0.903568,-2.33295,-0.555691,-1.74452,-0.0850284,20,-38.0551,-36.8955,-39.8289,-35.4852,-34.8581,-36.9717,-35.9858,-36.8803,-35.2971,-37.6405,-38.4778,-37.2953,-36.4712,-36.3027,-42.9377,-40.0143,-43.4154,-43.8452,-43.8278,-38.3053,-38.4732,-37.4793
-855.97,0.946605,0.162599,5,31,0,869.975,3.63772,-0.0517279,-0.217611,0.227605,0.325842,-0.886987,-0.123129,0.617528,-0.884678,0.137465,-0.0933366,-0.642381,-0.0058273,-0.524295,0.310387,1.09871,0.399981,-0.532329,-0.297726,0.142635,0.895064,0.320059,0.44488,0.46136,-0.230094,-0.0417663,-1.68632,0.035738,-0.820244,-0.977259,-1.40985,-0.648411,20,-38.8449,-39.854,-38.5709,-36.2959,-35.9614,-38.7061,-34.473,-36.0793,-34.5473,-36.7376,-36.0994,-38.9845,-36.3173,-36.0643,-47.089,-40.1291,-42.4876,-42.7896,-42.7591,-38.0243,-37.8444,-36.6589
-857.679,0.857139,0.162599,6,63,0,867.328,3.57861,-0.235031,0.182996,-0.100831,0.380396,-1.3586,-0.14577,0.0811717,-0.934524,-0.160792,0.0715555,-0.312406,0.246221,-0.0907178,0.35506,0.645254,0.352523,-1.57645,-0.111127,0.132535,0.154528,0.0219305,0.117375,0.378424,-0.314445,-0.119466,-1.38082,0.626255,-0.775881,-1.0627,-1.17643,-0.848691,20,-38.2489,-37.115,-38.912,-37.2257,-36.0759,-36.6192,-35.8794,-37.3332,-36.2204,-37.2861,-38.5058,-37.6784,-37.4171,-37.1196,-45.0749,-37.9051,-41.8596,-43.9057,-42.813,-38.4211,-38.304,-37.3898
