# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-11-30 10:45:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpowa51cil/6hqm7xt4.json
# init = 2 (Default)
# random
#   seed = 76379
# output
#   file = /home/john/python_test/project/year2023_model_sample/model-20231130024534_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.155115
# Diagonal elements of inverse mass matrix:
# 1.22128, 1.00582, 0.510938, 0.400839, 0.440642, 0.479439, 0.419852, 0.33805, 0.330342, 0.412883, 0.251652, 0.431572, 0.421406, 0.299518, 0.422724, 0.30936, 0.411782, 0.352415, 0.386254, 0.435166, 0.28927, 0.342449, 1.08903, 0.490469, 0.407762, 0.440951, 0.397842, 0.364895, 0.417441, 0.326305, 0.462792, 0.455486
-862.404,0.941987,0.155115,6,127,0,879.771,4.39863,0.3392,0.512676,-0.0865805,0.437257,-1.20462,-0.185623,-1.16599,0.663464,-0.435543,0.386224,-1.34216,-0.254108,-0.337127,-0.577115,-0.859744,-0.709514,0.810594,-0.193056,-0.388024,0.626138,0.277488,0.251256,0.833505,0.245285,0.411611,0.0221904,-0.953939,0.0713709,-0.651455,-0.383588,0.493748,20,-39.4275,-37.781,-39.4714,-34.7957,-35.0507,-36.9638,-33.9914,-35.4055,-35.9272,-37.639,-37.3058,-38.6677,-36.1158,-38.2156,-49.2714,-38.6082,-43.0163,-46.6793,-45.2351,-38.7131,-37.0035,-36.186
-862.089,0.908474,0.155115,6,127,0,880.302,2.09764,-1.26746,1.61077,1.20713,-0.0611242,-0.111836,-0.591092,0.361058,0.00450375,1.11326,-0.168078,0.183536,-0.0159256,-0.540126,-0.18841,1.27093,0.479125,-0.0759353,0.12196,0.595248,0.291088,-0.0157698,2.50184,-0.220553,-0.109017,1.41431,-1.08592,0.546126,-0.880214,-0.0406105,-0.236303,-0.382442,20,-37.7866,-36.2007,-39.7139,-36.5266,-34.407,-36.7135,-33.2933,-36.843,-35.2005,-39.0527,-39.1791,-39.8992,-35.7774,-37.2191,-45.4067,-39.5676,-45.4544,-44.3151,-44.3188,-38.0745,-36.1696,-38.9471
-861.133,0.875911,0.155115,6,63,0,880.563,3.2975,0.0770221,0.318571,-0.635648,0.980547,-1.16384,0.480112,-2.09908,0.336194,-0.263354,-0.610879,-1.31921,-0.0680383,-0.780337,0.0791532,-2.04943,-0.455789,-0.444641,-0.558412,-1.08242,-0.126045,0.0544714,0.403979,0.359989,0.439608,-0.259139,1.10323,-0.0850701,0.00864439,-0.486329,-1.17885,0.433472,20,-38.6776,-38.3049,-41.2766,-35.8195,-35.1055,-36.375,-35.403,-37.1434,-33.7413,-37.7864,-39.2351,-36.7032,-36.6486,-35.8101,-44.0702,-39.6605,-43.3329,-44.9783,-43.6414,-39.5798,-38.3253,-36.2638
-863.028,0.774712,0.155115,6,63,0,880.113,3.10552,-0.121632,1.03279,1.31286,-0.667554,-0.794063,-0.909268,1.40882,0.0943202,0.720498,-0.013374,0.47844,-0.27337,-0.296695,0.443852,1.59538,0.491312,0.395212,0.571168,0.550887,0.41621,0.28263,1.63765,0.60503,-0.395933,1.81608,-1.26585,0.204497,-0.437251,-0.0230128,-0.327941,-0.00484061,20,-38.2389,-37.1418,-38.2648,-37.2394,-36.5175,-36.9037,-35.9183,-37.3907,-35.7319,-37.1473,-37.552,-39.0109,-36.6359,-36.4583,-45.7264,-41.1774,-42.2959,-42.9036,-45.1719,-37.1946,-37.9004,-37.016
-860.179,0.99916,0.155115,6,63,0,874.061,3.71602,-0.346966,0.477656,1.30123,-0.396875,-0.339046,-0.528153,-0.275662,0.947712,0.789349,0.482981,0.312464,0.504874,0.167016,-0.00714753,-0.41533,0.301268,1.05271,0.801497,0.529521,0.46566,0.178782,1.53768,0.619814,-0.107514,1.72049,0.279203,-0.537053,-0.537555,-0.262836,-0.22106,-0.0796886,20,-37.9865,-37.482,-41.0007,-36.1641,-34.5222,-37.4843,-34.5952,-37.7486,-35.5792,-37.8668,-37.1209,-38.9952,-38.025,-36.8489,-47.4313,-39.0789,-43.3732,-42.8395,-41.6096,-39.4412,-35.4323,-38.4715
-862.061,0.536578,0.155115,5,63,0,879.908,2.34736,-0.295082,0.621098,0.181007,1.56929,-0.608643,0.304222,-0.0350851,-0.156471,0.30652,-0.788154,-0.85436,-0.784536,-1.26504,0.184522,0.0845944,-0.117843,-0.321217,-0.0701583,-0.90289,-0.42776,-0.624211,1.37832,-0.197573,-0.16741,-0.834321,-0.931061,-0.282227,-0.901113,0.0702973,-0.812606,0.368314,20,-39.5271,-38.7092,-38.0535,-35.6866,-35.9543,-39.6622,-35.3035,-34.4059,-35.7066,-36.2961,-35.9486,-37.9806,-34.8764,-36.1399,-43.8747,-43.4111,-45.0209,-44.6268,-46.6681,-37.7455,-40.4684,-36.0549
-859.711,0.910716,0.155115,5,31,0,874.173,1.3109,-1.61126,0.242638,0.567749,0.834706,-0.679938,-0.494465,-0.185236,-0.276151,0.669625,-0.409324,-0.517943,-0.591817,-0.746293,0.175625,-0.0918068,0.477614,-0.463649,0.231629,-0.556712,-0.240472,0.235784,2.18866,0.0728844,-0.477085,-0.223111,-0.929811,-0.313163,-1.06438,-0.538258,-0.561898,-0.419366,20,-38.5029,-39.5282,-38.7825,-35.742,-35.5926,-39.5505,-35.9183,-34.3287,-36.4787,-36.4219,-36.1173,-38.2767,-35.3774,-36.1775,-43.1845,-40.9974,-45.23,-44.0612,-44.0839,-38.4496,-40.116,-37.9242
-865.846,0.809197,0.155115,7,191,0,880.689,1.44056,-1.33267,0.176776,-0.0215734,-0.263932,-0.772639,-1.2136,-0.701448,-0.80744,0.733389,0.0776258,-0.318613,-0.829959,-0.581442,0.0903394,-0.782629,0.414312,-0.832225,-0.134726,-0.748594,-0.289488,0.842089,2.03673,0.117711,-0.0526626,0.428691,-0.203291,-0.152245,-1.3527,-1.1739,-0.88903,-0.684838,20,-38.0229,-39.7229,-39.874,-35.3079,-34.5876,-40.7681,-36.1087,-34.1872,-34.9383,-36.0733,-35.5982,-37.0658,-36.781,-35.3587,-44.9641,-43.6156,-44.3766,-44.0397,-47.0146,-39.4404,-39.2139,-37.7385
-865.984,0.905144,0.155115,6,63,0,885.13,1.88024,-1.52508,-0.029578,-0.125818,-0.262489,-1.38973,-0.51812,-1.56271,-0.263701,0.0460347,0.495635,-0.17584,-0.506123,-0.10114,-0.937241,-1.08296,-0.360446,-0.912236,-0.0630811,0.0862264,-0.144141,0.679284,1.71409,0.0134645,-0.673762,0.555625,0.0283069,-0.147636,-1.37011,-1.41448,-0.809899,-0.586683,20,-39.2825,-36.2606,-40.396,-36.6018,-35.9728,-37.1008,-34.254,-39.2933,-35.8989,-37.4647,-38.5283,-37.8276,-38.3303,-37.2427,-45.557,-39.6676,-42.8328,-44.6777,-44.1748,-39.5063,-36.8649,-36.2138
-868.811,0.982422,0.155115,5,31,0,888.095,4.56013,0.544226,1.22698,-0.518949,0.84588,0.335466,0.636268,1.12021,0.397896,0.0773661,-1.29552,-0.136787,0.185235,-1.23096,-0.0141752,1.55416,1.10776,0.00929717,-0.652721,1.74111,-1.47616,-0.383061,0.55068,0.142777,1.31219,0.104554,-1.42726,0.153449,0.0199079,1.40796,-0.293654,-1.13942,20,-38.5804,-38.5841,-39.6072,-37.4409,-36.266,-38.1533,-34.7094,-37.0787,-35.5379,-37.6368,-37.9023,-38.8298,-37.9333,-37.0144,-47.2809,-39.0834,-42.2711,-43.0943,-43.3966,-38.8355,-35.285,-36.9917
-865.861,0.901482,0.155115,6,63,0,887.98,3.72977,0.978501,0.797182,1.11932,0.0947245,-0.498393,-0.364441,-0.613662,0.337994,-1.14924,-0.304922,-1.75266,-0.600556,-0.327226,-0.160037,-0.428126,-0.241655,0.389589,1.30175,-1.18489,-0.477611,0.0486582,-0.473971,-0.132663,-1.69399,0.583758,-0.163991,-0.606891,0.27821,-0.276861,-0.487711,0.755596,20,-40.2579,-38.7228,-38.1869,-37.7564,-37.2134,-36.9886,-36.2578,-38.0544,-36.4802,-37.692,-37.5453,-36.0051,-36.5055,-37.9938,-44.0888,-39.3447,-41.3701,-44.1004,-43.7663,-37.4668,-41.799,-35.4586
-861.633,0.979907,0.155115,6,63,0,876.632,4.03801,0.149029,0.544549,1.56063,0.550353,-0.732885,0.0357602,-0.766533,1.46632,-0.954487,-0.172538,-1.56435,-0.223041,-0.827052,-0.217462,-0.725916,0.307292,0.963948,0.411966,0.327743,0.17897,-0.274024,0.8121,0.363401,-1.0287,0.431505,0.486163,-1.13828,0.346929,-0.100236,-0.512313,-0.0988183,20,-38.244,-38.3017,-37.0064,-37.1933,-35.7208,-37.319,-34.5345,-36.7814,-35.8553,-37.6379,-38.0567,-39.5877,-34.6781,-37.1793,-47.5716,-40.5788,-43.68,-42.6922,-43.9241,-36.0069,-38.5013,-37.7729
-864.998,0.991714,0.155115,5,31,0,877.835,2.26594,-1.05323,0.138336,0.694889,0.191334,-0.813656,0.272372,-0.912677,1.39225,-1.77973,0.0885786,-3.14807,-0.837423,0.00141568,-0.369685,-0.914702,-0.138887,1.15357,0.582979,-0.221237,0.120414,0.367168,1.80499,0.64876,-0.412515,0.362266,0.312741,-1.20288,1.77725,-0.391364,0.0390922,-0.258146,20,-37.5424,-37.8873,-41.3595,-37.1933,-33.4692,-37.7274,-33.5642,-37.2497,-36.3374,-38.6267,-38.509,-37.2929,-37.0818,-37.481,-46.4606,-40.2452,-42.1109,-42.8479,-43.2922,-39.8184,-36.4166,-36.7688
