# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-11-30 10:45:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmpowa51cil/6hqm7xt4.json
# init = 2 (Default)
# random
#   seed = 76379
# output
#   file = /home/john/python_test/project/year2023_model_sample/model-20231130024534_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.148665
# Diagonal elements of inverse mass matrix:
# 1.13408, 0.926755, 0.386545, 0.325919, 0.415373, 0.389797, 0.421933, 0.40762, 0.436426, 0.381757, 0.320028, 0.424565, 0.487792, 0.342227, 0.510846, 0.402838, 0.327372, 0.412743, 0.347158, 0.311995, 0.373079, 0.37947, 1.05373, 0.420971, 0.390179, 0.420148, 0.428523, 0.451435, 0.473964, 0.411287, 0.517174, 0.382442
-852.659,0.663669,0.148665,5,31,0,862.664,4.74273,1.12385,0.863626,-0.14544,0.924424,0.102023,0.454738,-0.054554,0.979606,0.314582,-0.0764808,-0.297846,0.100895,-0.247433,-0.0355255,-0.534126,0.943968,0.641821,-0.401321,0.330385,0.00851943,0.124782,-0.132778,-0.0273231,0.590431,0.256362,-0.00945355,-0.494826,-0.300168,-0.183611,-0.518081,-0.434333,20,-37.5823,-38.9734,-39.4006,-36.4412,-35.2123,-37.4709,-35.613,-37.097,-34.5973,-37.5095,-37.7855,-36.567,-36.3973,-36.4089,-46.0064,-40.0602,-42.6389,-42.7982,-42.3535,-37.9737,-38.0302,-36.975
-855.882,0.816821,0.148665,5,31,0,870.067,0.97688,-1.76313,0.755174,0.806994,1.26773,-0.580771,0.656474,0.124404,-1.17572,0.171019,-0.0631206,-0.598996,-0.133399,-0.371176,-0.301397,-0.0602325,0.293653,-1.67084,0.582901,0.0151815,-0.187715,0.809643,2.96596,0.747172,-0.00898397,0.0143108,-0.24522,1.49348,0.133372,-0.136631,0.0335632,0.34692,20,-38.4908,-38.3892,-39.7022,-34.4198,-35.8034,-38.0514,-36.0915,-36.0209,-34.7166,-35.6829,-36.1465,-38.3531,-36.5741,-35.2677,-42.918,-39.9524,-43.5201,-44.5721,-44.6133,-39.0626,-38.2654,-37.6924
-857.384,0.928052,0.148665,5,63,0,869.777,2.23788,-0.828211,0.261527,0.231445,0.870946,-0.466985,0.0887415,-0.815506,-1.78606,0.388449,-0.721728,-0.597963,-1.27446,-1.11601,-0.850243,-0.912356,-0.408041,-1.90409,-0.280587,-0.861173,-0.453437,-0.37317,1.60699,0.26897,-0.0519259,-0.0910456,0.122913,1.0791,-0.878569,-0.145702,-0.0447852,0.489861,20,-38.1372,-40.1479,-38.2775,-34.9664,-35.8243,-39.7753,-34.99,-35.6081,-34.4943,-34.7554,-34.1611,-38.2619,-35.7017,-34.9961,-45.7389,-41.8665,-44.4708,-43.9784,-44.7597,-37.8926,-38.6991,-36.8547
-857.461,0.854837,0.148665,5,31,0,869.626,4.30616,0.90345,1.31638,0.245296,-0.28854,0.15971,-0.663822,-0.118039,0.63881,-0.249609,0.365764,-0.71312,0.376266,0.150658,0.359369,0.188045,0.29198,0.216544,-0.150246,0.0167458,0.492568,1.43269,0.099083,-0.672667,-0.0245777,1.00999,-0.605205,-0.350102,0.0884783,-0.661698,-0.595301,-0.157261,20,-37.6342,-37.1775,-38.6747,-37.0935,-35.7013,-38.2609,-35.7105,-37.5911,-36.656,-37.9809,-38.3559,-37.8085,-36.6858,-37.266,-44.0775,-40.151,-43.057,-41.3221,-43.5782,-37.5526,-38.0456,-37.436
-862.169,0.890238,0.148665,5,31,0,876.11,1.82756,-1.60467,-0.802595,-0.150252,1.08339,-1.41569,0.701319,-1.05805,-0.42952,-1.0665,-0.504092,-1.60865,-0.60479,-0.860731,-0.928483,-0.558479,-0.439867,-1.06192,-0.401563,-1.00539,-0.311195,0.639261,1.60392,0.733813,-0.066184,-0.973046,0.0362875,0.186175,0.171206,-0.432634,-0.684192,0.277229,20,-39.1578,-39.4528,-39.3811,-37.3999,-36.5756,-37.4304,-35.706,-37.2445,-34.2085,-37.6306,-38.2789,-37.8989,-37.8354,-36.7231,-43.7071,-38.9142,-42.9501,-41.8996,-41.2164,-38.5843,-38.9027,-37.3733
-859.223,0.971468,0.148665,6,63,0,876.521,2.11123,-1.53204,1.06445,0.0880026,0.398146,0.354694,0.619035,0.00794386,0.338768,0.267488,0.375842,-0.74521,-0.667491,-0.148362,-0.112087,-0.138501,1.72684,0.425387,-0.102431,1.22162,-0.0993056,0.197779,2.95374,0.447523,0.973705,0.889837,0.375264,0.214103,0.382942,0.124624,0.400364,-0.420299,20,-39.641,-40.3685,-40.2481,-35.9642,-36.3624,-37.7289,-35.5506,-37.9222,-35.3388,-36.0845,-35.7211,-37.8439,-37.261,-36.6394,-47.2003,-39.2846,-40.3299,-41.8413,-42.1932,-38.9195,-39.5967,-35.6035
