# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = driver_constructor_circuit_model_model
# start_datetime = 2023-12-14 05:21:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpzyq1e9lm/hf92x3c0.json
# init = 2 (Default)
# random
#   seed = 91468
# output
#   file = /home/john/python_test/project/year2023_driver_constructor_circuit_model_sample/driver_constructor_circuit_model-20231213212125_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=driver_constructor_circuit_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,t_r.1,t_r.2,t_r.3,t_r.4,t_r.5,t_r.6,t_r.7,t_r.8,t_r.9,t_r.10,t_r.11,t_r.12,t_r.13,t_r.14,t_r.15,t_r.16,t_r.17,t_r.18,t_r.19,t_r.20,t_r.21,t_r.22,t_s.1,t_s.2,t_s.3,t_s.4,t_s.5,t_s.6,t_s.7,t_s.8,t_s.9,t_s.10,t_s.11,t_s.12,t_s.13,t_s.14,t_s.15,t_s.16,t_s.17,t_s.18,t_s.19,t_s.20,t_s.21,t_s.22,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.0991367
# Diagonal elements of inverse mass matrix:
# 2.73339, 0.979215, 0.635136, 0.697482, 0.631781, 0.651772, 0.710944, 0.673904, 0.648489, 0.726723, 0.609298, 0.673328, 0.661558, 0.647651, 0.862372, 0.691812, 0.721866, 0.633259, 0.625101, 0.667795, 0.584945, 0.722936, 1.34235, 0.652299, 0.592905, 0.622168, 0.618515, 0.545829, 0.585913, 0.487532, 0.628904, 0.574797, 10.4509, 0.669803, 0.509087, 0.566909, 0.5452, 0.576731, 0.564437, 0.583814, 0.552321, 0.617201, 0.499737, 0.498747, 0.469269, 0.511881, 0.567748, 0.452243, 0.67184, 0.485437, 0.432604, 0.48674, 0.497053, 0.673435, 1.50124, 0.733552, 0.508292, 0.620945, 0.620226, 0.716174, 0.661485, 0.608709, 0.496605, 0.592392, 0.56553, 0.603692, 0.489678, 0.496984, 0.535792, 0.545299, 0.650106, 0.520196, 0.477634, 0.46765, 0.742484, 1.11299
-883.562,0.919824,0.0991367,6,63,0,919.237,3.65121,-0.331868,-0.388785,-1.01507,0.595743,-0.375484,-0.148552,-0.948502,1.57022,0.531168,-0.0416765,-1.3738,-0.703979,0.524179,0.152009,-0.132915,-0.967742,-0.224314,-0.612986,0.432817,-0.90887,1.18976,1.01281,0.24414,2.32236,0.00674674,1.1458,-0.860843,0.773759,0.197838,0.262218,0.0670877,0.645308,0.545116,1.27963,-0.720436,0.739226,1.19611,2.51833,0.350191,0.339328,-0.411888,0.695495,0.702931,0.545703,0.0744903,-0.190885,-0.281141,3.00583,1.24146,-0.137616,-0.215819,0.505019,0.421712,-0.681445,0.270049,1.68102,-0.76079,1.05035,-1.28461,0.0527041,-1.16298,-0.520826,-1.83933,-1.11776,-0.659172,0.106316,-2.40418,-2.20189,-1.73802,-0.479011,-0.029009,-1.73636,-1.31697,-0.354769,0.100487,20,-42.0816,-34.469,-42.0117,-35.4709,-32.6834,-39.0545,-38.8836,-36.0988,-35.2483,-35.8933,-36.8998,-34.7793,-43.4946,-36.9503,-45.2416,-38.7076,-39.9679,-41.7045,-40.2307,-43.8944,-35.3783,-35.0433
-879.13,0.991856,0.0991367,6,63,0,916.632,2.09929,-0.781456,1.57755,0.874676,0.600275,-0.918975,0.425018,1.21018,-1.28802,-0.721043,-0.0552054,0.462697,0.149114,-1.11327,-0.971991,0.134512,1.22541,-0.650071,1.15594,-0.933896,0.111295,-0.36377,1.34487,0.0769873,-2.19203,0.674059,-1.8229,0.713158,-1.31996,-0.660559,-1.0735,-0.213442,1.15699,-0.948632,-2.08756,-0.0927215,-2.04664,-0.355943,-1.28839,-0.812843,-0.36122,0.767598,-1.28792,-0.612478,-1.46412,0.484939,0.268275,0.468423,-0.827691,-2.3489,-0.395077,0.167513,-1.13244,-0.75637,0.0376815,-0.0674066,-0.433958,2.23596,0.480758,-0.278915,-1.13628,0.736062,1.15682,1.72472,1.04989,-0.220031,0.100335,0.988645,2.14069,1.13532,-1.03574,0.596083,2.183,1.23905,-0.280984,0.897966,20,-41.9927,-35.3903,-43.3309,-37.2908,-35.1124,-33.5939,-40.7733,-33.7132,-34.5094,-33.7941,-36.3802,-38.2777,-39.6163,-34.5348,-42.5614,-40.5382,-38.3946,-39.5967,-43.3019,-38.4501,-39.292,-35.2034
-873.624,0.963865,0.0991367,6,63,0,909.042,2.85805,-0.943711,-0.168272,-0.928975,-0.083011,-0.121058,-0.571688,-1.13179,1.80614,0.84661,-0.324017,-0.874917,-0.676012,-0.457762,1.1124,-0.38416,-0.788149,0.127817,-1.17806,1.01993,-0.76954,1.42895,1.44917,0.177081,2.61302,0.148805,0.970229,-0.880819,0.487535,0.0650837,0.161152,0.270519,2.34873,0.796973,1.53857,-0.854107,1.02987,0.781991,1.9201,0.720371,0.134964,-0.491923,0.954737,0.732316,0.412781,1.25823,-0.46729,-0.443504,2.60411,1.25653,-0.782177,-0.333741,1.09003,-0.61578,-0.603373,0.30507,1.47496,-0.346333,1.02095,-0.706122,0.507976,-0.761273,-0.373946,-2.09732,-1.03517,-0.514648,0.165855,-1.27996,-2.22206,-1.72518,0.0764082,-0.0422518,-1.0162,-1.2999,-0.781447,-0.277192,20,-41.048,-35.8533,-43.4054,-33.3379,-34.733,-38.4824,-39.5807,-36.0471,-37.0101,-35.9067,-36.7562,-38.2232,-36.9495,-37.2636,-42.5228,-38.2626,-38.6342,-38.8777,-40.8806,-36.9501,-36.2583,-35.1053
-870.867,0.895904,0.0991367,6,63,0,913.576,5.87296,1.20141,1.42258,1.56562,0.118967,-1.59705,0.599156,0.455592,0.00823236,-0.593137,-0.0569216,-0.551686,0.301441,0.0539248,-1.15408,0.236225,-1.0274,0.393991,1.3303,-1.03891,0.82806,-0.457283,-0.449518,0.172932,-2.11878,-0.00964483,-1.55988,-0.247403,-0.459756,-1.00523,-0.491756,-0.524308,-0.343153,-0.800435,-1.64011,-0.281658,-0.390756,0.698432,-0.310582,-0.849278,-0.767881,0.473717,0.0253228,-0.493909,-1.42891,-0.069476,0.0802298,-0.0410913,0.986993,-1.41731,-0.321928,-0.124403,-0.0938723,0.593217,-2.51149,0.0436741,-0.179098,1.89899,2.41577,0.366999,-1.13526,0.293468,0.11246,0.830616,0.0288579,-0.0856583,0.290743,-0.109483,1.51587,0.624837,0.930435,-0.389714,1.559,1.2197,-0.525048,1.38931,20,-36.0616,-35.1208,-43.5213,-36.0241,-35.1212,-38.8752,-35.3364,-33.6536,-35.1519,-36.5408,-36.985,-36.6308,-39.2312,-36.7291,-39.4141,-40.4811,-41.4169,-41.1378,-43.3439,-39.8632,-38.2345,-35.2144
-870.959,0.932737,0.0991367,6,63,0,912.058,2.75351,-0.635622,0.65744,0.0576583,0.591046,0.815119,-1.74649,-1.74067,-1.22688,-0.0888245,-0.862024,-0.0841233,0.469193,-0.295931,0.735294,-0.521479,0.328464,-0.289054,-0.721323,0.995449,-0.316649,0.0842407,-0.705603,-0.466098,1.37014,1.0821,0.574094,1.30204,-0.691399,0.694282,0.0158085,0.257194,3.47332,2.39667,0.711117,-0.808713,-0.335147,0.00354421,2.03757,0.361263,0.518034,1.3155,0.353023,0.579656,-0.493176,-0.105249,-1.2505,-0.180664,-0.0111993,-0.799064,-0.223664,-1.2097,-0.184009,-0.788534,0.398663,2.33359,1.4446,0.00720439,0.768911,-1.27283,-0.275826,0.311901,0.327433,0.548371,-0.438931,-0.345506,-0.716041,-1.59924,-0.737459,-0.498912,-0.782238,-0.764008,-0.219706,-1.16305,-0.64229,-0.666956,20,-37.5665,-35.5596,-40.9342,-36.4617,-36.307,-38.3261,-34.8799,-32.6517,-35.1877,-37.6108,-37.7959,-36.8279,-38.8722,-36.9874,-40.1129,-38.5415,-42.6676,-42.304,-41.3664,-39.8524,-39.4258,-36.2881
-868.879,0.948936,0.0991367,6,63,0,915.326,3.17827,-1.04715,0.656493,0.347325,-0.0309388,0.565884,-1.25998,-1.66781,-1.33756,-0.414305,-0.700841,-0.164947,0.00601316,-0.105055,0.419714,-0.418206,0.169593,-0.604433,-0.515509,0.59443,-0.132472,-0.0587839,-0.250185,-0.432613,1.47451,1.03236,0.742919,1.24696,-0.616566,0.527358,-0.0811735,0.656945,5.37195,2.32651,0.737189,-1.09719,-0.408925,-0.204266,1.69741,0.749216,0.421748,1.31174,0.215913,0.380683,-0.460844,0.271537,-1.05757,0.0161468,0.0870316,-0.63394,-0.389578,-1.31505,-0.266606,-1.03141,0.427718,2.30355,1.64273,0.208591,0.76779,-1.24998,0.130743,0.107274,0.0455444,0.257173,-0.037695,-0.0189336,-0.712552,-1.95661,-1.09774,-0.749881,-1.0004,-0.342166,-0.465515,-0.897045,-0.52266,-1.1528,20,-39.1094,-34.1033,-42.9177,-34.0266,-36.0357,-36.6222,-36.1332,-34.0336,-34.5892,-37.0129,-36.6528,-37.0127,-40.4057,-35.6647,-43.5487,-39.2941,-39.8295,-40.4445,-41.5,-40.6125,-37.6486,-36.0298
