# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = driver_constructor_circuit_model_model
# start_datetime = 2023-12-14 05:21:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmpzyq1e9lm/hf92x3c0.json
# init = 2 (Default)
# random
#   seed = 91468
# output
#   file = /home/john/python_test/project/year2023_driver_constructor_circuit_model_sample/driver_constructor_circuit_model-20231213212125_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=driver_constructor_circuit_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,t_r.1,t_r.2,t_r.3,t_r.4,t_r.5,t_r.6,t_r.7,t_r.8,t_r.9,t_r.10,t_r.11,t_r.12,t_r.13,t_r.14,t_r.15,t_r.16,t_r.17,t_r.18,t_r.19,t_r.20,t_r.21,t_r.22,t_s.1,t_s.2,t_s.3,t_s.4,t_s.5,t_s.6,t_s.7,t_s.8,t_s.9,t_s.10,t_s.11,t_s.12,t_s.13,t_s.14,t_s.15,t_s.16,t_s.17,t_s.18,t_s.19,t_s.20,t_s.21,t_s.22,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.111502
# Diagonal elements of inverse mass matrix:
# 2.32616, 1.01176, 0.890639, 0.717636, 0.76787, 0.871876, 0.663319, 0.547959, 0.706947, 0.619587, 0.706628, 0.702887, 0.670002, 0.648034, 0.686523, 0.564527, 0.620303, 0.446146, 0.564587, 0.722264, 0.59067, 0.695283, 1.22103, 0.619544, 0.466624, 0.548552, 0.647062, 0.564032, 0.639406, 0.467545, 0.560189, 0.751138, 7.45236, 0.550638, 0.59261, 0.646693, 0.565056, 0.68138, 0.494882, 0.551068, 0.470554, 0.479707, 0.566862, 0.563841, 0.445936, 0.555762, 0.513083, 0.54542, 0.687363, 0.521229, 0.427756, 0.517817, 0.566252, 0.589498, 1.15347, 0.570777, 0.620835, 0.639901, 0.647052, 0.707366, 0.572382, 0.547295, 0.54033, 0.517741, 0.576811, 0.604529, 0.492655, 0.582342, 0.46169, 0.573084, 0.625956, 0.521091, 0.461091, 0.529255, 0.792873, 1.04352
-864.572,0.833618,0.111502,6,63,0,893.136,2.82826,0.868728,-1.3493,-0.0969769,-0.223394,-0.155431,0.120785,0.183324,-1.63618,0.623714,-1.12141,-0.15291,-0.495644,-1.81168,0.256685,0.528426,0.0250326,-0.265205,0.587989,0.0682639,-0.371042,-1.64186,-0.0862703,0.377328,-0.681992,0.333588,-1.42606,-0.088286,-2.01512,0.650325,-1.45014,-0.116723,2.48553,-0.784098,1.09647,0.283883,-0.534506,-0.86819,-0.751253,-0.165643,1.37247,0.823334,-0.231459,0.200985,0.479695,-0.130694,0.0803619,-0.187683,0.645513,-0.892222,-0.895543,-0.517995,-0.505378,-0.54755,0.356602,-0.400089,0.880109,1.50907,0.609239,-2.19123,-1.43608,-0.409627,1.24955,0.148093,-0.142809,0.22413,0.600735,-1.09126,0.252878,0.16576,-1.15487,-0.586166,0.194602,-0.72979,-0.273676,-1.12614,20,-41.2072,-34.1565,-43.5685,-35.7532,-34.6517,-37.9717,-38.0615,-34.4816,-36.0131,-36.1715,-37.1908,-39.1989,-35.1036,-38.1888,-41.7402,-39.0847,-39.4357,-39.4213,-42.0321,-36.9239,-37.7581,-35.415
-867.726,0.948083,0.111502,6,63,0,904.302,0.20444,-1.17091,3.22876,0.20552,0.762657,-0.28014,0.526503,-1.91217,2.20645,-0.254452,1.13665,-0.538767,0.132474,0.766094,-0.610694,-1.7946,0.06715,-0.456345,-0.847057,-0.871624,1.07751,1.43021,2.65468,-0.372448,1.63683,0.955381,1.64932,-0.172906,0.682186,-1.18968,0.498753,0.580658,4.39999,0.53174,-1.36936,-1.17407,0.0146424,1.93667,0.293103,0.761488,-1.55131,0.197957,0.255596,0.262268,-0.608248,0.316864,0.2984,0.553405,0.918552,0.457022,-0.022742,0.932567,0.0695206,0.0201377,0.882903,0.634558,-0.951467,-0.398339,0.640081,0.528311,-0.585778,-0.156294,-0.892853,0.0108382,0.636763,-0.666956,-0.788594,-0.383037,-0.161847,-0.576105,-0.40274,0.964349,0.813432,0.670961,0.178763,1.73476,20,-38.0774,-34.9002,-44.9601,-31.9135,-33.1169,-39.5688,-37.2638,-35.2075,-33.707,-33.2919,-33.9612,-35.8335,-39.1657,-34.6227,-41.9294,-43.0674,-41.3197,-41.6937,-45.7183,-38.6354,-36.3447,-35.3489
-860.528,0.991508,0.111502,6,63,0,896.168,3.91345,0.792137,-1.62135,0.375548,0.276754,-0.246847,-0.631249,0.733373,-2.28871,0.320121,-1.07343,0.103914,-0.606066,-1.39118,0.169221,1.22757,-0.279148,-0.0159244,0.671298,0.108367,-0.347557,-0.298712,0.0432377,0.575245,-1.22767,0.176114,-2.02479,-0.209963,-1.47789,-0.00187441,-1.47583,-0.449811,2.41062,-0.81275,0.931454,0.143062,-0.589789,-0.688451,0.517401,-0.445137,1.29301,0.133644,-0.0535497,-0.18968,0.0629333,-0.320674,0.0240742,-0.108371,0.435486,-1.24754,-1.03026,-0.989602,-0.48201,-0.421156,-1.02855,-0.262752,2.01873,1.54233,1.02095,-1.87666,-0.170559,-0.387296,1.52019,-0.389507,-0.753059,-0.225639,1.06091,-0.338064,-0.148196,-0.0361305,-0.89213,-0.334767,0.197735,-0.884935,-0.637552,1.25788,20,-36.7556,-32.9158,-41.4691,-36.1034,-33.426,-39.0414,-35.283,-35.0827,-35.149,-35.3225,-35.4833,-37.0478,-38.0755,-36.8877,-43.584,-41.2094,-42.2454,-40.0267,-44.1582,-36.773,-35.2527,-35.2583
-870.187,0.656725,0.111502,6,63,0,904.44,1.58847,-1.31013,1.29058,0.440881,-0.148281,-0.46883,-0.0226382,0.0481442,2.07979,-0.0434764,-1.22236,-0.132485,-0.0941743,-0.344358,-0.0489306,-0.431298,1.64246,0.41933,-0.142087,1.59629,-0.259438,0.268721,1.99456,-0.5193,0.52014,1.50785,-0.469341,-0.293333,-0.508799,0.870532,-0.054133,-0.989247,1.90531,0.162253,-0.367146,-1.39524,-0.371797,1.546,-0.140546,-0.987215,-1.87264,0.540942,-0.102936,-0.142287,-0.840067,-1.04892,-0.123947,0.868019,0.582571,-0.419634,-0.0346887,-0.563742,-0.390652,-1.26966,1.67603,1.54722,0.252959,0.367151,0.951686,-0.377427,-0.881348,0.234268,-1.46441,0.397235,0.74637,-0.228763,0.412881,-0.745078,-0.073371,0.748896,-1.09863,0.772687,0.463001,0.0868453,0.60109,0.0527448,20,-42.4693,-32.8934,-41.5713,-37.2209,-34.5453,-39.898,-36.9177,-35.7632,-35.2546,-35.3911,-35.4151,-36.753,-41.0957,-36.8079,-44.8265,-39.0016,-40.1749,-42.7407,-41.7616,-40.9051,-36.0202,-32.5946
-859.439,0.939215,0.111502,6,63,0,903.63,3.52223,1.13064,-0.200215,-0.565791,1.65171,-0.870027,-0.0462571,-0.645466,0.0569828,0.355898,0.0707916,-0.568769,-0.708383,-1.64206,-0.0683053,0.107837,-1.82239,0.280178,-0.446024,-2.3278,-0.270925,-0.842294,0.112369,0.619556,0.275928,-0.731922,-0.117997,-0.172695,-0.402026,0.0128685,-0.732745,1.19451,1.89232,-1.04097,0.788997,-0.192894,-0.369086,0.313428,1.7287,-0.0901727,-0.0661844,0.00986904,-0.0873562,0.20391,0.0295453,0.869959,0.285735,-0.447567,0.898056,-0.422674,0.570005,0.387499,-0.141126,1.05904,-0.626427,-0.718428,0.479625,1.28632,0.617659,-0.978755,0.436429,-0.363473,0.0702916,-0.533919,-1.02537,-0.896843,0.781648,0.771582,-0.00870371,-0.584107,-0.728188,-0.180811,0.0511002,0.534006,-0.86793,-0.204068,20,-38.9555,-34.2308,-41.3138,-37.4937,-33.3211,-36.823,-35.7425,-34.2533,-35.6915,-36.7201,-37.402,-34.3669,-40.4798,-38.1774,-42.4426,-38.2795,-40.0703,-44.6718,-43.0024,-41.0367,-35.3495,-33.2743
-864.549,0.814513,0.111502,6,63,0,899.111,1.22411,-1.85299,1.26866,1.01724,-0.963101,0.107027,-0.896272,0.504125,-0.19983,-0.0696375,0.643029,-0.282791,0.208364,0.29623,-0.0772252,-0.218031,1.82535,-0.312519,0.349442,1.951,-0.29034,1.46823,1.55763,-0.400431,-0.339532,3.01526,-1.12997,-0.495801,-0.621117,-0.691384,-0.168714,-1.32462,2.34543,0.297194,-0.229634,-1.18358,-2.04209,0.252767,-1.59378,-0.274388,0.281426,0.333187,-0.576172,-0.00774672,-1.14966,-1.26654,-0.689039,0.483187,0.13657,-0.214628,-0.230217,-1.24469,0.779516,-0.874567,0.682983,1.04964,0.276906,0.750248,-0.0168345,-0.618169,-2.76197,0.263055,0.651696,0.896027,-0.315948,-0.44183,0.240594,-0.541465,0.379055,0.435304,-0.39961,0.870464,0.216898,-0.733855,-0.906532,-0.184158,20,-40.0475,-37.2696,-40.8811,-36.1111,-35.2786,-38.7087,-38.6087,-33.1597,-34.4708,-34.9703,-35.7955,-36.4542,-38.8196,-36.3998,-39.9701,-38.4765,-38.9652,-40.9622,-41.7316,-38.7478,-40.7841,-34.5707
