# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = driver_constructor_model_model
# start_datetime = 2023-12-14 05:21:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpzyq1e9lm/t92b4bz5.json
# init = 2 (Default)
# random
#   seed = 20565
# output
#   file = /home/john/python_test/project/year2023_driver_constructor_model_sample/driver_constructor_model-20231213212115_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=driver_constructor_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.126008
# Diagonal elements of inverse mass matrix:
# 1.31735, 1.09135, 0.482398, 0.401479, 0.465652, 0.454683, 0.445753, 0.446843, 0.396239, 0.392199, 0.263184, 0.400437, 0.413921, 0.303996, 0.404162, 0.429259, 0.450253, 0.389917, 0.381932, 0.438334, 0.341517, 0.376495, 1.28165, 0.485594, 0.382827, 0.463654, 0.474694, 0.432878, 0.43127, 0.302846, 0.440847, 0.479805
-860.501,0.957998,0.126008,5,63,0,874.733,4.69909,0.952242,2.27321,0.0843017,0.247501,1.01443,-0.714357,-0.0147997,-1.36136,0.147697,-0.328606,-0.222067,-0.305706,-0.0346102,0.246208,0.273268,0.789237,-1.41358,-0.398156,0.804522,0.151851,0.262748,-0.261199,-1.44466,0.360115,0.479668,-0.807842,1.16188,-0.536378,-0.518735,-0.679128,-0.652232,20,-39.6798,-38.6256,-37.9595,-37.0416,-37.3936,-37.2365,-35.6445,-35.3976,-35.6902,-36.4235,-36.5853,-40.0309,-35.6797,-35.7211,-45.0632,-39.0064,-43.295,-43.8724,-43.1327,-37.5785,-38.0971,-37.0575
-863.299,0.955877,0.126008,6,63,0,878.171,0.880315,-2.21897,-0.92241,0.526122,0.399334,-2.06169,0.188532,-0.630947,1.73637,0.0414361,0.121851,-0.728298,-1.09771,-0.745729,-1.09935,-0.663134,-0.34407,0.918231,-0.0961362,-1.01572,0.379152,-0.0663023,3.0333,1.7845,0.172414,0.337749,0.163507,-1.42833,-0.30429,-0.354067,0.34606,1.13842,20,-39.9206,-39.5004,-39.7343,-34.7817,-36.9933,-37.3723,-36.5327,-37.3955,-34.587,-36.0873,-36.7761,-39.6019,-36.1322,-36.0261,-43.5724,-39.0158,-42.832,-41.9403,-42.3608,-37.7373,-40.7597,-37.1181
-857.549,0.97281,0.126008,5,63,0,876.191,2.03944,-1.28071,-0.804687,0.00947715,0.32251,-1.60793,-0.35717,-0.482868,0.719406,-0.23926,-0.54175,-0.790613,-0.627538,-0.563032,-0.663142,-0.627402,0.687328,0.0736537,0.122972,0.706258,-0.258326,0.658295,2.07554,1.25656,0.225264,0.529849,0.196765,-0.664589,-0.038503,-0.160596,-0.313544,-0.587376,20,-39.8923,-39.0261,-40.2835,-36.5043,-36.8159,-37.4199,-36.0653,-36.2266,-34.1429,-35.607,-36.3043,-38.4448,-38.0362,-34.5504,-43.1595,-40.22,-43.2906,-44.1367,-42.3132,-40.0985,-37.4344,-36.7741
-860.167,0.718386,0.126008,5,63,0,876.892,1.25634,-2.22635,0.209785,0.175492,0.491995,-0.353061,-0.0567522,-0.19171,-0.172067,0.0401694,0.337009,-0.466631,-1.88017,-0.0897403,-1.65156,-0.246673,-0.0510077,-0.679301,0.38709,-0.008451,0.746515,-0.00204774,2.42853,0.29119,-0.209714,0.350408,-0.210868,-0.182285,-0.483743,-0.77224,0.957985,0.17698,20,-40.3405,-40.2273,-39.5733,-36.2766,-37.7208,-37.7951,-36.2111,-37.2081,-36.0693,-34.7416,-35.1573,-38.9469,-38.4276,-36.3071,-44.7549,-38.6416,-41.8775,-44.3647,-40.2169,-39.8847,-38.8616,-36.1375
-857.951,0.993712,0.126008,5,31,0,870.594,1.68402,-1.30344,0.390616,0.636832,0.349788,-1.06525,-0.0970642,-0.193994,-0.159432,0.209916,-0.0284567,-0.637543,-1.39606,-0.867556,-1.45618,0.0465672,-0.314317,-0.176062,-0.420448,-0.936224,0.706878,0.429408,2.06788,0.130194,-0.44596,0.114267,-0.773074,-0.743565,-0.90218,-0.64303,0.309161,0.316126,20,-37.4291,-38.0858,-38.1527,-35.172,-35.4675,-38.9544,-35.3553,-37.1166,-35.123,-35.5042,-35.2091,-39.4415,-35.697,-35.6821,-44.9718,-41.8747,-44.7296,-42.7425,-45.427,-37.2261,-39.941,-37.8652
-862.559,0.895805,0.126008,6,63,0,876.106,5.34925,1.9131,1.27865,-0.156671,1.13502,-0.403043,0.37559,-0.539048,0.0226751,0.458112,-0.743008,-0.379375,0.0842019,-1.40779,0.17066,0.0358285,0.91872,0.0923543,0.0598776,0.605753,0.141672,0.118558,0.0480109,0.584345,0.972629,0.482225,0.298972,0.128371,0.289886,0.645666,-0.186424,-0.116588,20,-39.0947,-38.549,-40.6062,-34.4774,-35.6243,-39.4563,-35.7995,-35.7765,-33.7527,-34.9761,-35.035,-37.2257,-37.4367,-34.2307,-46.3183,-42.3351,-43.5073,-45.855,-46.9994,-40.0563,-37.5683,-35.8949
-857.157,0.963749,0.126008,5,31,0,873.153,1.8583,-1.38927,-0.0223634,0.853852,-0.0135685,-0.816575,-0.217195,-0.192992,-0.103432,-0.406687,-0.185954,-0.778714,-0.86681,-0.63262,-0.376245,0.151523,0.0144935,-0.376528,-0.291076,-0.366661,0.314183,0.13805,1.1435,0.22683,-0.359545,0.274763,-0.841155,-0.345399,-0.214717,-0.370485,-0.13494,-0.095609,20,-38.375,-38.6393,-39.0664,-36.8128,-37.1875,-37.4578,-36.1871,-38.2455,-37.3285,-37.0719,-37.4386,-41.5684,-37.1109,-37.2793,-42.5,-37.0687,-44.424,-41.0125,-39.2377,-37.6063,-39.89,-39.0749
-856.43,0.996267,0.126008,5,63,0,863.909,1.35992,-1.54925,0.461713,0.0480823,0.240505,-0.665135,-0.638829,-0.113369,-0.532811,-0.545002,0.168608,-1.38287,-0.0381844,-0.353473,-0.0723323,0.0555327,0.236341,-0.811359,0.29275,0.00326624,0.338172,0.569694,2.45496,-0.163323,-0.132624,0.288276,-0.973573,0.126448,0.198982,-0.690054,-0.891169,-0.24898,20,-40.1196,-38.1048,-40.3645,-34.9258,-36.2738,-38.826,-35.8304,-35.3471,-35.2616,-36.0953,-35.9022,-37.9131,-37.2447,-35.8484,-42.9649,-41.2104,-43.0025,-44.1185,-44.4394,-39.8687,-38.1607,-35.8439
