# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = driver_constructor_model_model
# start_datetime = 2023-12-14 05:21:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmpzyq1e9lm/t92b4bz5.json
# init = 2 (Default)
# random
#   seed = 20565
# output
#   file = /home/john/python_test/project/year2023_driver_constructor_model_sample/driver_constructor_model-20231213212115_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=driver_constructor_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.13916
# Diagonal elements of inverse mass matrix:
# 1.30294, 1.05218, 0.504778, 0.440682, 0.417415, 0.503078, 0.366143, 0.402445, 0.390516, 0.331843, 0.251626, 0.351187, 0.395873, 0.284844, 0.382098, 0.375582, 0.320977, 0.393777, 0.440704, 0.349359, 0.316018, 0.331197, 1.17351, 0.466618, 0.472981, 0.360029, 0.427284, 0.448524, 0.354129, 0.305444, 0.368157, 0.375013
-869.349,0.791333,0.13916,5,31,0,885.782,5.15081,1.42529,0.38744,0.603696,-0.38842,-0.978725,-0.757902,-0.538725,-0.330468,0.722398,0.0551408,0.693468,0.13627,-0.126294,0.0811173,0.102932,1.079,-0.693426,-0.657524,0.537884,0.427222,-0.307216,-0.340319,0.341615,0.311126,1.4647,0.118248,0.332494,-1.40001,-0.774856,-0.673397,-0.996271,20,-36.4485,-36.5372,-39.1278,-37.964,-34.9545,-37.9449,-34.5263,-38.9518,-34.61,-37.057,-37.3634,-39.5922,-38.0969,-35.3731,-46.6347,-41.7733,-46.3148,-42.6926,-44.3956,-37.8511,-37.8978,-40.2067
-865.995,0.974986,0.13916,5,31,0,888.526,4.9336,1.36343,0.328276,0.576377,-0.516747,-1.13587,-0.879142,-0.473676,-0.280596,0.855615,0.231402,0.519881,0.152104,-0.124584,0.180015,-0.0675489,1.12095,-0.598158,-0.620041,0.662135,0.377738,-0.178418,-0.502682,0.353842,0.358218,1.4825,0.236443,0.426248,-1.46489,-0.777713,-0.64608,-0.874957,20,-37.7682,-36.6057,-38.9796,-37.9272,-35.2601,-36.5305,-35.0259,-38.0282,-35.5134,-37.7188,-37.9008,-40.1471,-37.172,-36.2,-44.7255,-40.2355,-45.2442,-42.2573,-42.703,-37.876,-38.6991,-40.2815
-861.148,0.99108,0.13916,6,63,0,881.07,2.24381,-1.15573,1.00613,-0.539077,1.11826,0.103187,0.141372,-0.293928,0.86731,-0.330509,0.229231,-0.45123,-0.465187,-0.312759,-0.12188,-0.961142,0.432978,0.595215,-0.619058,0.130543,0.00842666,0.673454,2.31982,0.594301,1.14074,0.26321,0.225486,-0.621267,0.251145,-0.16376,-0.0435734,0.265498,20,-38.475,-40.4607,-37.6631,-34.4706,-36.766,-39.5829,-36.3186,-35.4278,-35.3393,-35.9829,-36.165,-37.6888,-36.3038,-37.0058,-47.2306,-40.5726,-43.4427,-45.1832,-45.1527,-37.0403,-38.7938,-36.0949
-865.704,0.99429,0.13916,6,63,0,883.399,3.32187,-0.255209,-0.186223,0.142321,0.0186867,-1.14213,-1.07736,0.785765,-0.482718,-1.17652,-1.04743,-2.05596,-0.114877,-1.32998,0.190586,0.588403,-0.125392,-0.816182,0.379176,-0.314176,-0.613853,-0.613713,-0.255452,-0.859391,-1.42223,-0.0132008,-2.32849,-0.994632,-0.320385,-0.753049,-1.92879,-0.976328,20,-39.8037,-38.5281,-39.5855,-37.0427,-36.4814,-36.8468,-35.9184,-36.0812,-36.3133,-35.2039,-35.4429,-37.8275,-37.4272,-35.2318,-43.3281,-39.9762,-44.5122,-45.7464,-41.1348,-40.2975,-38.8542,-36.9659
-866.013,0.907973,0.13916,5,31,0,884.911,2.38771,-0.322872,-0.116546,0.222429,0.0515916,-1.11122,-1.01812,0.525173,-0.231106,-1.27759,-1.00966,-1.94516,0.0242596,-1.32278,0.088181,0.563425,-0.132844,-1.02378,0.231147,-0.519872,-0.720446,-0.319898,0.0326498,-0.541386,-1.69778,0.0447832,-2.37322,-0.652372,-0.311915,-0.963557,-1.99207,-0.72105,20,-39.2476,-38.6657,-38.2544,-35.9814,-36.8539,-38.2655,-35.8102,-37.0197,-35.5115,-36.7797,-37.8828,-37.127,-35.8048,-36.1143,-42.252,-40.7116,-44.727,-45.4729,-43.8667,-38.0126,-39.4732,-36.5036
-857.997,0.999155,0.13916,5,63,0,879.102,2.7706,-0.835583,-0.102526,-0.0838557,1.51778,-1.12753,1.3347,-0.59695,0.837668,0.667788,-0.0644727,0.039108,-0.782268,-0.587467,-0.884653,-0.413102,0.165855,0.86154,-0.444984,0.0707219,-0.065594,0.475391,2.16671,1.41382,1.25453,-0.533294,0.338231,-0.492143,-0.608534,0.073832,0.54139,0.49521,20,-39.8101,-38.3305,-40.4843,-34.7875,-35.3998,-37.8162,-34.5694,-35.8684,-34.2945,-37.1054,-36.4008,-39.4283,-36.9301,-35.9421,-45.8796,-39.1764,-42.7389,-43.2104,-43.4001,-38.9205,-36.9714,-37.2164
