# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = driver_model_model
# start_datetime = 2023-12-14 05:21:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpzyq1e9lm/askj80ne.json
# init = 2 (Default)
# random
#   seed = 17569
# output
#   file = /home/john/python_test/project/year2023_driver_model_sample/driver_model-20231213212138_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=driver_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.446906
# Diagonal elements of inverse mass matrix:
# 0.223023, 0.101748, 0.0853999, 0.0951765, 0.100813, 0.101599, 0.092923, 0.100877, 0.0853782, 0.0879488, 0.0858903, 0.108033, 0.0980347, 0.144059, 0.10062, 0.102084, 0.0875372, 0.0939129, 0.1019, 0.0823188, 0.164441, 0.20334
-851.627,0.985252,0.446906,3,7,0,863.677,3.91736,0.652911,0.372653,0.480236,0.869588,-0.537585,0.471948,-0.481823,-0.353532,-0.259938,-0.54534,-1.10899,-0.811127,-1.00975,-0.798618,-0.74864,0.0174027,-0.127506,0.0613836,-0.0819674,-0.492697,0.0240741,20,-39.2132,-37.925,-40.7325,-35.4206,-35.4098,-36.7975,-34.9787,-36.9229,-35.2181,-36.6486,-35.9772,-38.9321,-37.2867,-35.7085,-43.8631,-39.2191,-43.9588,-43.7325,-41.3851,-39.5576,-37.2375,-37.564
-856.889,0.778344,0.446906,3,7,0,862.777,3.61827,0.175851,0.808561,0.0400576,0.331896,-0.10818,0.0950869,-0.62713,-0.518758,-0.422287,-0.222412,-1.23107,-1.02069,-1.00845,-1.03952,-0.466829,0.218429,-0.926788,0.0329165,-0.480477,-0.34549,-0.12095,20,-38.9017,-40.44,-39.6048,-35.7601,-36.2814,-38.2745,-36.2397,-36.6959,-35.2383,-35.7282,-35.7082,-37.4069,-37.7773,-37.1921,-46.0428,-39.0364,-41.4433,-43.0833,-42.5617,-39.0413,-39.9977,-36.4803
-862.431,0.715903,0.446906,3,7,0,874.845,4.39186,0.687277,-0.0941695,-0.0217276,0.731243,-1.13214,0.257243,-0.799069,-0.242715,-0.367455,-0.942571,-1.07922,-1.1183,-1.58239,-0.486626,-0.908807,-0.123294,-0.493931,-0.400756,-0.763133,-0.554386,0.594711,20,-37.9303,-38.0314,-40.3633,-36.5539,-35.4081,-37.688,-35.8804,-38.1616,-36.1104,-36.6698,-37.1009,-37.5727,-37.7834,-35.7429,-44.5253,-40.9789,-45.4267,-42.7297,-42.434,-38.8728,-38.6262,-37.1675
-857.313,0.960543,0.446906,3,7,0,872.067,4.16862,0.609771,0.208371,-0.132387,0.705622,-0.827814,0.257788,-1.2338,-0.542809,-0.529078,-0.852149,-1.12552,-1.22549,-1.49064,-1.22242,-1.10208,-0.0192831,-0.626107,-0.36222,-0.962775,-0.693695,-0.549769,20,-37.7881,-38.4141,-40.6398,-34.8732,-35.2313,-38.1002,-35.3271,-38.2811,-33.912,-35.9904,-36.0793,-36.2127,-37.673,-35.3567,-46.1903,-40.4149,-44.2722,-43.834,-43.4312,-38.7995,-38.5285,-36.0024
-861.915,0.633796,0.446906,3,7,0,877.455,3.61078,0.353806,0.844027,0.692193,0.322699,-0.221272,0.447537,-0.172333,0.0247634,0.113983,-0.537233,-0.711401,-0.892185,-1.31761,0.15745,-0.328307,0.0573627,-0.55899,-0.169158,0.0792537,-0.253171,0.247041,20,-38.6872,-39.9195,-39.8492,-36.7887,-37.222,-38.095,-37.2725,-37.7102,-37.7999,-36.1194,-37.1573,-41.3003,-36.7698,-36.0512,-43.2762,-39.3215,-42.799,-40.6825,-41.4162,-38.7395,-39.436,-38.8134
-860.789,1,0.446906,3,7,0,866.472,4.68542,1.1924,0.912871,0.406798,1.52367,-0.202974,0.480904,-0.602695,0.156413,-0.359287,-0.447532,-0.75503,-0.473813,-0.128291,-1.16874,-0.289432,0.353356,0.161593,0.37966,-0.231966,0.282784,-0.161284,20,-38.5766,-37.3646,-39.7241,-37.0846,-35.1838,-37.596,-34.2544,-36.6607,-33.7457,-37.8446,-37.3998,-36.4854,-37.3689,-36.2573,-46.0412,-40.6465,-45.6286,-46.7187,-43.9675,-39.0667,-37.2741,-36.9021
