# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = driver_model_model
# start_datetime = 2023-12-14 05:21:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmpzyq1e9lm/askj80ne.json
# init = 2 (Default)
# random
#   seed = 17569
# output
#   file = /home/john/python_test/project/year2023_driver_model_sample/driver_model-20231213212138_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=driver_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.430721
# Diagonal elements of inverse mass matrix:
# 0.229402, 0.109118, 0.111525, 0.085144, 0.0848187, 0.091416, 0.101647, 0.0792352, 0.0855798, 0.0800424, 0.0871626, 0.0870021, 0.0850196, 0.143076, 0.0807854, 0.0799345, 0.0847649, 0.100363, 0.0976547, 0.0907158, 0.168258, 0.195174
-854.383,0.63288,0.430721,3,7,0,870.585,4.46052,0.869686,0.870481,0.67274,0.970524,-0.0155232,0.403574,-0.701232,-0.461074,-0.0520604,-0.670746,-0.857498,-0.777607,-1.54901,-0.372488,-0.160965,0.224475,-0.0212954,0.147986,-0.195339,-0.131725,0.0447419,20,-38.7487,-39.384,-39.8354,-35.0842,-35.4532,-38.7648,-34.7907,-36.2134,-34.7728,-36.5518,-35.5468,-38.618,-36.7698,-35.4512,-45.9644,-39.5839,-44.0124,-43.658,-42.8948,-38.629,-37.4416,-37.4199
-855.765,0.920626,0.430721,3,7,0,864.311,4.08538,0.863819,0.823995,0.486491,0.909699,-0.125948,0.385285,-0.631061,-0.204463,0.384281,-0.254632,-0.430054,-0.816155,-1.38348,-0.427321,-0.557265,0.256533,-0.00947049,0.149095,-0.161669,0.0987705,-0.653505,20,-38.4353,-39.804,-40.5695,-34.4208,-36.3858,-38.5655,-36.4907,-36.6043,-35.2713,-36.3753,-36.3562,-38.2492,-37.0567,-36.3382,-45.1269,-40.1296,-43.1231,-42.8572,-42.248,-38.9868,-37.9526,-36.4699
-853.999,0.968974,0.430721,3,15,0,866.614,4.35298,0.926577,0.638035,0.7135,0.876016,0.288823,0.346075,-0.274263,0.449343,0.121644,-0.188038,-0.635036,-0.562323,-1.30973,-0.00943722,-0.23262,0.197176,-0.317339,0.228404,0.119676,-0.135046,-0.0656814,20,-38.1653,-40.1275,-39.2214,-35.4402,-35.9067,-39.6071,-35.6071,-36.065,-36.2898,-36.9515,-37.4044,-39.1758,-36.0716,-36.3778,-44.7851,-40.0706,-42.9118,-41.2214,-41.9303,-38.0636,-37.6056,-37.6023
-854.007,0.975948,0.430721,3,7,0,862.456,4.14739,0.977612,0.946536,0.911798,1.4469,-0.240657,0.352239,-0.48271,0.136418,-0.25014,-0.560168,-0.604627,-0.619772,-0.623208,-0.64845,0.0192324,0.314611,-0.24269,0.148304,-0.414582,-0.511271,0.0311079,20,-37.0502,-37.3521,-38.8805,-36.3531,-35.1763,-37.4264,-34.6778,-36.292,-33.9113,-36.5893,-37.0862,-38.6344,-36.8374,-35.0001,-43.2105,-39.8554,-46.9821,-45.3467,-43.392,-38.2835,-37.9506,-39.3849
-851.074,1,0.430721,3,7,0,858.835,4.00765,0.89536,1.08321,0.415892,1.28474,-0.109116,0.128541,-0.490354,0.136349,-0.141628,-0.333734,-0.543717,-0.641083,-0.367342,-0.745777,-0.0951478,0.313015,0.0525482,0.048039,-0.134061,-0.162664,0.347064,20,-37.873,-38.0398,-37.7621,-36.8232,-36.0859,-37.289,-35.1722,-35.7789,-34.6636,-37.4019,-37.6551,-37.2206,-36.2542,-36.6615,-44.0189,-39.5919,-44.4781,-44.943,-43.4983,-37.4902,-37.9607,-37.2647
-851.828,0.874743,0.430721,3,7,0,859.215,4.50779,0.943522,0.99178,0.739984,0.900842,-0.254377,0.862778,-0.282938,-0.0166113,0.00520605,-0.25421,-0.423887,-0.447429,-0.243433,-0.768055,-0.0881118,0.186538,-0.249349,0.0940284,0.123377,-0.142538,0.460562,20,-37.504,-37.74,-40.0833,-36.9595,-35.9933,-36.9979,-35.3408,-38.5152,-34.5124,-35.9015,-36.149,-38.8697,-37.9249,-35.0934,-45.2253,-39.5699,-43.2083,-42.213,-42.8582,-38.8053,-37.1617,-37.738
-851.562,0.859647,0.430721,3,7,0,861.86,4.24881,0.734186,0.874962,0.301442,0.947187,0.0171223,-0.0060528,-0.62095,0.175757,-0.180468,-0.269221,-0.986074,-0.776465,-0.993787,-0.0696012,-0.507367,0.383726,-0.171013,0.0718809,-0.309951,-0.304952,0.280929,20,-38.2765,-39.4372,-37.8936,-35.8068,-35.4674,-38.4777,-35.3094,-35.0297,-36.4042,-37.2911,-37.4937,-37.4143,-35.3678,-37.3493,-45.2513,-39.2825,-43.3172,-43.2528,-42.7836,-37.2086,-39.2972,-36.5939
-857.18,0.73998,0.430721,3,7,0,864.458,4.22306,0.678034,0.71992,0.24246,1.05172,0.14139,-0.27868,-0.7189,0.171268,-0.125611,-0.322996,-0.881506,-0.719607,-1.11991,-0.0848785,-0.796723,0.359733,-0.140262,0.279501,-0.255379,0.0177448,0.288355,20,-39.2193,-40.2571,-38.6364,-35.1929,-36.0119,-39.1923,-35.7986,-34.3755,-36.5708,-37.5722,-37.5666,-37.7275,-35.8953,-37.539,-45.0338,-39.1958,-43.8873,-44.2682,-41.9978,-38.0383,-39.0426,-36.4209
-855.933,0.975121,0.430721,3,15,0,869.956,4.3808,0.488943,0.620729,0.245976,1.0928,0.187317,0.0669735,-0.434978,0.276838,-0.104298,-0.328367,-0.773852,-0.636443,-0.930697,-0.188301,-0.627013,0.498495,-0.139809,0.586522,-0.289377,-0.0838936,0.437212,20,-39.7568,-40.4109,-40.0696,-35.6453,-35.9926,-38.1501,-36.2105,-35.2353,-35.641,-37.2348,-37.3984,-36.8431,-37.4583,-36.8584,-44.8792,-38.2548,-43.1964,-44.3974,-40.2318,-39.3973,-38.9686,-36.3517
-855.847,0.98982,0.430721,3,7,0,863.925,4.481,1.04216,1.05647,0.673657,0.570598,-0.638389,0.573427,-0.461619,-0.279432,-0.26847,-0.392101,-0.89298,-0.758306,-0.627418,-0.780185,-0.216122,-0.0541993,-0.448587,-0.616206,-0.329158,0.0741772,-0.109335,20,-35.8676,-37.1367,-38.7059,-37.0628,-34.8328,-37.8243,-34.8643,-38.0169,-34.9758,-36.441,-36.5674,-39.4164,-36.299,-35.6577,-46.8734,-41.8179,-43.9422,-41.5921,-45.7138,-37.1528,-37.9936,-38.5528
-857.745,0.679853,0.430721,3,7,0,873.101,4.32268,0.868974,1.228,0.360847,0.885312,-0.180754,0.737466,-0.946461,0.0261363,0.121343,-0.761504,-1.06908,-0.682023,-1.02725,-0.717437,-0.122728,0.275587,-0.618473,0.275795,-0.4947,-0.21388,0.43707,20,-37.9374,-38.8393,-41.6285,-35.4324,-34.5585,-38.0137,-34.6853,-37.8422,-33.1971,-35.7667,-36.5864,-36.9226,-38.0155,-34.6385,-45.8976,-39.8626,-43.501,-44.6438,-44.9182,-40.3504,-38.16,-36.8232
-855.471,0.999191,0.430721,3,7,0,866.697,3.89058,0.462662,0.523071,0.128655,0.857439,-0.454843,-0.0464573,-0.57152,0.0411964,-0.693959,0.0192354,-0.913192,-0.524723,-0.790331,-0.217719,-0.518333,0.182549,-0.190149,-0.138032,0.0437054,-0.537972,-0.108292,20,-39.4958,-37.7701,-37.3226,-36.8516,-36.7496,-37.367,-35.8935,-36.3625,-38.2811,-37.8933,-37.978,-38.6315,-36.1976,-38.8256,-43.9865,-38.1095,-42.7181,-43.0959,-41.3467,-37.227,-39.604,-37.2628
